636837 3600
3997 3467 3134
3948 3614 3094
3531 3302 3771
3368 3463 3832
3352 4075 3107
3200 4001 3388
3903 3365 3424
3582 3311 3727
3474 3461 3794
3270 4018 3375
3238 3672 3714
3370 4054 3138
3222 3473 3781
3946 3656 3120
3327 4034 3330
3987 3406 3285
3730 3379 3635
3913 3689 3159
3986 3506 3102
3229 3570 3762
3889 3428 3511
3337 3841 3581
3277 3595 3754
3496 3397 3782
3456 3466 3791
3800 3806 3197
3469 4045 3145
3944 3616 3216
3649 3403 3700
3970 3446 3325
3981 3507 3319
3839 3414 3531
3236 3857 3596
3974 3554 3146
3286 3793 3638
3790 3814 3263
3474 4028 3218
3896 3680 3225
3456 4040 3253
3831 3419 3532
3358 3660 3732
3921 3613 3266
3408 4050 3228
3402 3538 3770
3706 3434 3636
3488 4012 3255
3579 3431 3749
3939 3545 3335
3757 3853 3154
3838 3809 3182
3642 3941 3172
3845 3782 3193
3396 3536 3772
3490 4021 3251
3935 3573 3369
3675 3900 3207
3397 4026 3343
3967 3528 3211
3525 3516 3752
3646 3443 3692
3714 3418 3640
3499 3939 3390
3881 3738 3135
3348 3799 3616
3832 3386 3545
3298 3750 3656
3703 3823 3332
3723 3534 3622
3906 3730 3167
3789 3845 3203
3773 3677 3467
3406 4047 3269
3889 3685 3278
3867 3624 3417
3685 3893 3241
3443 3811 3580
3953 3550 3322
3765 3504 3584
3593 3926 3337
3470 3586 3726
3307 3898 3586
3693 3520 3649
3421 3966 3435
3362 3735 3675
3344 3682 3696
3271 3953 3488
3707 3494 3623
3320 3919 3506
3399 3828 3611
3323 3598 3746
3293 3911 3517
3679 3862 3381
3710 3907 3177
3458 3575 3735
3433 3479 3778
3691 3453 3668
3537 3662 3661
3506 3887 3475
3429 3490 3765
3460 3997 3280
3848 3543 3462
3732 3868 3288
3926 3608 3291
3517 3488 3755
3745 3836 3294
3522 3699 3653
3430 3968 3408
3794 3681 3421
3568 3612 3676
3414 3765 3647
3860 3547 3453
3603 3643 3632
3651 3398 3706
3507 3983 3363
3962 3559 3234
3810 3391 3540
3552 3775 3556
3739 3843 3321
3513 3771 3601
3492 3636 3710
3452 3711 3682
3294 3963 3473
3742 3870 3252
3909 3525 3392
3449 3756 3614
3958 3563 3312
3355 3914 3509
3301 3590 3751
3287 3584 3754
3756 3860 3150
3743 3468 3630
3797 3818 3247
3734 3633 3521
3697 3913 3176
3657 3567 3657
3672 3458 3684
3591 3961 3299
3573 3511 3711
3417 4021 3276
3340 3789 3618
3804 3456 3528
3460 3990 3354
3907 3673 3211
3748 3583 3577
3384 3665 3718
3610 3649 3620
3569 3987 3190
3342 3568 3758
3670 3497 3689
3713 3604 3583
3607 3837 3459
3556 3956 3311
3486 4002 3274
3479 3925 3443
3434 3948 3439
3432 3526 3761
3925 3438 3394
3570 3694 3625
3484 3776 3603
3938 3477 3368
3869 3449 3482
3598 3950 3305
3549 3923 3411
3878 3565 3397
3959 3453 3345
3781 3524 3570
3772 3716 3407
3767 3777 3381
3596 3943 3331
3554 3808 3512
3364 4004 3356
3719 3393 3638
3861 3646 3385
3820 3605 3471
3775 3745 3352
3392 3767 3648
3520 3852 3505
3304 3936 3501
3388 3611 3720
3375 3742 3665
3893 3680 3297
3851 3471 3522
3815 3637 3461
3728 3731 3427
3445 4005 3282
3932 3619 3222
3701 3895 3221
3633 3955 3184
3865 3736 3242
3823 3755 3318
3812 3647 3448
3808 3510 3517
3722 3801 3373
3645 3505 3679
3628 3977 3148
3624 3618 3644
3590 3509 3708
3576 3562 3698
3446 3993 3302
3706 3882 3258
3558 3522 3738
3876 3717 3229
3791 3531 3525
3779 3821 3327
3753 3847 3204
3737 3627 3523
3695 3641 3554
3686 3834 3364
3637 3754 3513
3608 3963 3271
3604 3714 3598
3516 3916 3432
3370 3933 3498
3964 3568 3169
3930 3657 3188
3919 3617 3260
3822 3633 3434
3711 3664 3530
3687 3712 3493
3605 3876 3400
3419 3727 3665
3405 3555 3764
3932 3450 3384
3783 3491 3535
3755 3578 3551
3640 3909 3349
3533 3720 3599
3865 3507 3446
3778 3738 3379
3529 3647 3688
3350 3622 3741
3929 3459 3393
3927 3679 3167
3826 3690 3359
3669 3635 3572
3663 3561 3643
3644 3640 3624
3619 3752 3547
3577 3588 3680
3563 3952 3308
3562 3784 3553
3550 3884 3450
3504 3872 3496
3426 3935 3458
3309 3992 3410
3953 3483 3329
3947 3581 3237
3661 3798 3427
3588 3866 3402
3698 3556 3612
3682 3653 3552
3667 3888 3328
3625 3671 3594
3617 3689 3592
3545 3733 3572
3476 3848 3546
3467 3960 3376
3465 3791 3600
3436 3810 3604
3411 3890 3537
3393 3805 3614
3813 3481 3522
3497 3817 3564
3769 3751 3378
3601 3554 3686
3481 3572 3724
3312 3794 3633
3366 3629 3724
3900 3602 3329
3655 3722 3545
3314 3788 3623
3317 3783 3635
3854 3748 3232
3672 3899 3246
3488 3994 3273
3455 3558 3744
3428 3611 3715
3374 3558 3776
3904 3683 3170
3873 3701 3256
3721 3878 3206
3574 3947 3324
3902 3472 3437
3808 3700 3366
3746 3828 3292
3737 3858 3286
3674 3915 3186
3615 3912 3341
3536 4000 3237
3505 3528 3742
3424 3655 3702
3695 3794 3412
3458 3986 3355
3397 3980 3470
3380 3500 3776
3827 3594 3441
3762 3731 3406
3750 3614 3515
3710 3637 3566
3639 3607 3671
3502 3663 3670
3799 3486 3543
3743 3802 3357
3691 3891 3303
3670 3936 3238
3657 3875 3360
3623 3773 3508
3547 3729 3593
3543 3764 3557
3538 3873 3494
3524 3930 3402
3523 3979 3313
3518 3958 3387
3488 3704 3639
3425 3645 3719
3380 3631 3723
3433 4009 3346
3951 3486 3352
3874 3638 3333
3854 3474 3484
3835 3725 3309
3796 3727 3403
3647 3895 3340
3620 3501 3720
3611 3734 3564
3586 3782 3550
3581 4006 3187
3541 3842 3526
3539 3877 3451
3501 3531 3722
3478 3670 3681
3463 3977 3381
3454 3800 3574
3423 3557 3747
3340 3787 3621
3917 3396 3399
3858 3553 3450
3641 3945 3309
3597 3388 3722
3587 3971 3259
3415 3903 3510
3924 3595 3307
3717 3707 3516
3689 3571 3608
3560 3686 3634
3387 3594 3730
3382 3859 3567
3829 3770 3242
3802 3513 3527
3701 3849 3358
3622 3786 3491
3508 4007 3260
3447 3928 3462
3884 3602 3339
3565 3717 3591
3916 3522 3423
3373 3713 3692
3583 3593 3673
3906 3577 3315
3379 3783 3627
3615 3830 3478
3532 3723 3607
3963 3521 3239
3938 3574 3296
3858 3508 3456
3762 3710 3415
3702 3470 3664
3659 3867 3396
3652 3542 3662
3651 3626 3605
3598 3743 3561
3534 3833 3542
3461 3889 3490
3430 3929 3468
3804 3651 3445
3737 3692 3431
3798 3686 3404
3787 3598 3500
3752 3596 3533
3747 3638 3504
3659 3676 3568
3527 3607 3706
