17944 240.033
3984 3485 3238
3572 3327 3737
3278 3453 3809
3259 4110 2981
3004 4009 3379
3348 3352 3802
3425 4088 3005
3028 4023 3357
3009 3986 3429
3772 3907 3019
3646 3339 3688
3044 3969 3455
3374 3467 3798
3631 3337 3706
3029 3934 3570
3716 3358 3626
3414 3500 3766
3574 4021 2995
3569 4035 3036
3907 3713 3044
3768 3938 3048
3707 3366 3647
3757 3398 3601
3770 3422 3569
3271 4106 2990
3283 3469 3791
3609 3359 3695
3543 3403 3744
3871 3779 3155
3070 3931 3562
3360 3540 3774
3873 3786 3039
3702 3926 3161
3160 4040 3279
3585 4009 3030
3122 4093 3185
3075 3979 3414
3727 3392 3620
3836 3801 3092
3199 4108 3134
3314 4098 3054
3186 3850 3582
3513 4025 3152
3342 3564 3754
3939 3624 3222
3809 3408 3543
3738 3955 3065
3082 3830 3604
3956 3514 3334
3654 3418 3652
3640 3936 3193
3240 4104 3026
3673 3330 3665
3223 4019 3339
3946 3579 3291
3842 3705 3276
3889 3548 3480
3497 3791 3526
3732 3381 3623
3164 4098 3146
3740 3812 3311
3669 3914 3232
3422 4069 3095
3668 3370 3672
3418 3633 3659
3494 3383 3776
3785 3861 3157
3443 3537 3732
3554 3378 3740
3977 3528 3212
3799 3668 3410
3817 3848 3068
3192 3796 3629
3177 4084 3170
3045 4055 3352
3980 3488 3189
3831 3810 3182
3778 3714 3425
3050 3983 3421
3321 4066 3237
3950 3630 3202
3934 3619 3322
3229 3894 3495
3064 4031 3337
3752 3777 3316
3764 3573 3506
3474 3517 3709
3134 3917 3514
3523 3429 3723
3792 3552 3492
3647 3987 3098
3846 3640 3387
3282 3520 3782
3919 3496 3427
3820 3617 3456
3242 4091 3103
3393 3602 3720
3643 3482 3655
3307 3637 3714
3164 4000 3402
3101 4102 3210
3313 3947 3450
3916 3524 3446
3811 3871 3071
3441 3903 3467
3959 3639 3165
3652 3921 3246
3549 4020 3080
3428 3495 3763
3345 3795 3596
3167 3880 3552
3903 3704 3235
3255 3670 3691
3137 4071 3207
3052 3875 3588
3793 3412 3572
3408 3981 3304
3892 3480 3448
3850 3724 3261
3577 3650 3651
3310 3762 3610
3096 4074 3215
3665 3857 3287
3884 3675 3239
3399 3692 3648
3290 3749 3638
3674 3455 3619
3390 3820 3538
3130 3881 3555
3860 3790 3060
3154 4044 3282
3925 3622 3265
3093 4058 3243
3055 4072 3245
3636 3681 3557
3366 3941 3422
3638 3446 3676
3787 3755 3331
3339 4052 3220
3421 3587 3712
3060 4038 3318
3632 3966 3197
3386 3561 3759
3782 3615 3485
3468 3493 3789
3213 3909 3502
3211 4104 3143
3804 3631 3397
3376 3837 3536
3273 3985 3392
3688 3974 2991
3967 3590 3175
3823 3656 3371
3551 3972 3318
3446 3522 3752
3316 3803 3577
3298 3678 3674
3649 3498 3639
3152 4001 3390
3326 3930 3453
3654 3981 3083
3621 3858 3345
3540 3957 3329
3478 4040 3128
3244 3882 3522
3911 3581 3372
3627 3990 3112
3237 3995 3407
3296 3603 3781
3625 3532 3645
3192 4080 3187
3686 3463 3605
3336 3907 3441
3943 3535 3325
3865 3388 3487
3606 3570 3660
3500 3628 3675
3462 4062 3121
3285 4103 3074
3119 3886 3541
3972 3496 3296
3302 3854 3559
3728 3817 3376
3603 3376 3700
3357 4046 3204
3760 3925 3101
3588 4003 3108
3801 3799 3258
3730 3459 3587
3530 3405 3724
3352 3814 3571
3349 4078 3199
3679 3954 3139
3962 3509 3298
3704 3891 3200
3692 3735 3406
3474 3527 3696
3378 3899 3474
3351 4030 3263
3266 3951 3462
3978 3539 3191
3763 3859 3172
3612 3781 3415
3575 3472 3698
3496 3476 3730
3483 3721 3594
3418 3964 3418
3401 3578 3743
3371 4085 3116
3968 3513 3229
3343 3867 3528
3328 3677 3679
3874 3737 3259
3601 3733 3517
3582 3372 3725
3538 3559 3677
3522 3449 3720
3112 4042 3295
3788 3730 3270
3356 4021 3252
3114 4050 3275
3736 3939 3136
3697 3958 3073
3597 3698 3540
3516 3431 3734
3354 4037 3240
3332 3911 3475
3234 3753 3631
3216 3953 3472
3852 3788 3125
3556 4005 3159
3525 3771 3512
3466 4058 3111
3453 3848 3477
3369 4072 3118
3226 3674 3693
3854 3795 3077
3826 3838 3106
3900 3543 3403
3829 3828 3113
3459 3905 3404
3450 3896 3420
3320 3719 3654
3108 3870 3583
3930 3621 3227
3913 3613 3324
3139 3904 3522
3615 3976 3186
3149 3839 3598
3700 3696 3464
3593 3453 3710
3659 3495 3612
3146 3897 3508
3813 3658 3365
3462 3502 3749
3719 3435 3614
3088 3934 3510
3780 3760 3300
3647 3960 3130
3558 3821 3443
3710 3665 3440
3560 3807 3453
3880 3585 3373
3780 3688 3408
3774 3441 3564
3772 3464 3547
3754 3726 3354
3753 3643 3494
3644 3919 3269
3439 3751 3584
3173 3923 3498
3793 3868 3133
