248228 3600
4064 3307 3184
3941 3671 2970
3538 3039 3828
3366 4077 3133
3266 3256 3929
2970 3781 3693
3349 3056 3898
3865 3780 3002
3651 3974 2990
3458 3082 3856
3430 3089 3879
3631 3108 3757
2998 3646 3778
2979 3853 3637
3856 3792 3026
3140 3635 3761
3398 3200 3874
3122 3962 3534
3897 3732 3038
3012 3530 3829
3595 3189 3789
3089 3320 3922
3095 3726 3718
3561 4049 3057
4053 3336 3238
3530 3246 3806
3738 3955 3065
3317 4068 3259
3464 3115 3847
3595 4016 3030
3380 3175 3894
3477 4075 3075
4042 3373 3230
4056 3359 3211
3168 4021 3370
3768 3938 3048
3003 3851 3636
3356 3983 3478
3084 3865 3611
3478 4060 3044
3652 3971 3095
3023 3762 3706
3842 3590 3406
3647 3987 3098
3429 3206 3870
3358 3146 3895
3074 3846 3626
3730 3616 3527
3748 3945 3056
3719 3928 3109
3953 3620 3070
3970 3392 3409
3926 3596 3251
3637 3459 3687
3236 3423 3865
3417 3159 3871
4020 3478 3195
3519 3125 3818
3938 3673 3120
3781 3522 3539
3627 3729 3532
3186 3906 3557
3869 3764 3104
3891 3736 3168
3351 3536 3787
3775 3664 3431
4008 3400 3312
3105 3460 3877
3705 3948 3132
3521 3804 3490
3783 3896 3114
3034 3705 3742
3150 3792 3676
3960 3454 3339
3296 3262 3890
3437 3168 3860
3990 3530 3139
3929 3353 3453
3921 3632 3219
3410 3385 3825
3054 3964 3495
3577 3229 3764
3973 3470 3336
3611 3843 3442
3068 3900 3579
3381 4053 3291
3587 3215 3802
3268 3269 3913
3532 3140 3817
3449 4027 3201
3390 3222 3864
4017 3503 3186
3496 3252 3834
3181 3838 3645
3887 3565 3413
3030 3638 3793
3043 3868 3619
4037 3447 3054
3805 3866 3150
3271 3155 3924
3840 3809 3089
3373 3432 3830
3755 3734 3342
3362 3209 3892
3339 3788 3585
3428 3119 3877
3160 3736 3711
3809 3421 3537
3580 3514 3713
3421 3260 3858
3195 3862 3616
3900 3238 3486
3606 3750 3504
3049 3814 3666
3305 3742 3643
3742 3779 3347
3616 3350 3721
4014 3308 3346
3699 3930 3162
3103 3648 3775
3693 3968 3087
