337592 2820.22
4078 3174 3152
3572 2974 3779
3364 4099 2854
3221 4149 2855
3165 3218 3941
2836 3958 3520
3210 4141 2902
3468 2994 3851
2860 3953 3517
3380 4098 2858
3538 3039 3828
2895 3974 3497
3179 4145 2930
3390 3057 3886
2902 4021 3424
4045 3393 3165
2983 3790 3676
3548 3039 3802
3593 2976 3768
4004 3557 2946
3614 3186 3742
3309 3283 3887
3621 3067 3765
2913 4096 3285
3454 3121 3865
3922 3248 3459
3026 4044 3350
3776 3079 3635
3188 3272 3921
2971 3651 3764
3180 4142 2955
4055 3287 3238
3035 4037 3406
2931 4092 3279
3616 4015 2942
3229 3739 3725
3502 3151 3845
4059 3335 3153
3045 4061 3320
3112 3275 3927
3303 4109 2984
3494 3084 3847
3092 3583 3791
3627 3181 3756
3699 3598 3516
3474 3199 3828
3437 3168 3860
4073 3298 3102
3847 3555 3392
3918 3702 3139
3098 3967 3461
3927 3646 3257
3914 3711 3021
3768 3938 3048
3675 3112 3729
3740 3833 3242
3956 3654 2998
3570 3700 3586
3852 3755 3025
3771 3896 2936
3266 3256 3929
4067 3352 3055
3858 3364 3540
3838 3665 3291
3687 3538 3588
3510 3096 3833
3177 3323 3900
3901 3489 3396
4064 3307 3184
4041 3320 3296
3123 3442 3874
2951 3777 3684
4019 3229 3325
3829 3716 3224
3690 3523 3592
3643 3995 3015
3531 3261 3794
3656 3173 3714
2947 4116 3171
3366 3349 3855
3475 3905 3475
3409 3653 3681
3985 3435 3247
3825 3563 3418
3727 3390 3619
3154 4146 2935
3334 3141 3916
3315 3236 3904
4013 3460 3212
3086 4135 3091
3587 3397 3689
3485 3179 3834
3134 3848 3590
3934 3593 3264
2940 4015 3441
3000 3387 3893
3536 3144 3815
3505 3406 3752
3404 3370 3799
3430 3089 3879
4001 3504 3143
3105 4137 3009
3508 3403 3748
3639 3691 3526
2989 4083 3302
3458 3071 3857
3076 4110 3225
3756 3154 3637
3683 3560 3598
3719 3839 3233
3582 3372 3745
3049 4034 3367
3319 3911 3491
3004 4124 3135
3842 3575 3415
3863 3292 3536
3274 3492 3825
3976 3448 3338
3065 3944 3523
2920 3922 3576
2944 3901 3597
2966 3988 3464
3352 3642 3759
3237 3679 3719
3297 4132 2966
3016 4090 3229
3870 3462 3456
3079 3870 3601
3704 3638 3451
3941 3671 2970
3658 3960 3003
3191 3159 3938
3822 3622 3380
3719 3126 3692
3874 3659 3167
4016 3437 3194
3892 3733 3129
2997 3930 3558
3415 3267 3841
3254 3264 3918
3669 3131 3710
3089 4127 3059
2957 4048 3369
3130 3805 3630
3101 4147 2976
3909 3103 3496
3634 3417 3624
3517 3146 3805
3813 3737 3297
3491 3795 3537
3432 4076 2995
3947 3551 3340
3061 3750 3705
3578 3594 3608
3162 3506 3836
4037 3481 3115
3960 3590 3137
3710 3521 3596
3206 3278 3908
3908 3207 3485
3573 3128 3773
3219 4004 3402
3372 3341 3820
