83194 1320.35
9234 8350 8323
8640 8125 8873
8586 9096 8218
8189 9137 8394
8109 8132 9071
7775 8842 8917
7816 8707 8967
8182 8151 9044
7899 8632 8968
9223 8416 8342
8512 8184 8911
8561 8155 8892
8303 8306 9000
8261 8247 9022
8475 8220 8934
8123 8279 9042
8716 8329 8822
8352 8321 8965
8382 9121 8313
7865 8728 8962
9197 8477 8428
8426 8193 8954
8156 8538 8980
8549 8201 8893
8160 8265 9031
9173 8615 8316
8026 8712 8933
8416 8209 8949
7840 8806 8936
7952 8609 8993
8088 8642 8952
8158 8230 9044
8806 8968 8355
8436 8572 8920
8958 8338 8689
8687 8379 8841
8055 8867 8905
8819 8945 8345
8802 8404 8790
8426 8296 8931
8235 8994 8762
9002 8840 8362
8747 9016 8324
8017 8604 8970
9128 8355 8505
9015 8564 8629
8450 9106 8332
8311 9115 8488
8709 8647 8772
8101 8992 8769
8504 9067 8391
8959 8838 8389
8793 8767 8624
9190 8600 8342
8563 8286 8880
8269 8256 9009
8830 8465 8757
8277 8773 8885
8464 8954 8651
8267 8257 9015
8257 8434 8972
9152 8512 8430
8880 8341 8742
7877 8526 9015
8868 8413 8730
8626 9017 8479
8092 8959 8808
8764 8579 8741
8703 8998 8413
8490 8710 8866
8286 8373 8986
7947 8719 8961
8320 8305 8988
8509 9106 8272
8557 9084 8277
8564 8210 8874
8771 8362 8805
8605 8185 8891
9136 8551 8457
8903 8902 8376
8437 9045 8588
8740 8862 8603
8195 8910 8829
8864 8453 8740
7889 8692 8987
8734 9061 8278
8986 8455 8634
8334 8349 8982
8774 8392 8797
9146 8567 8429
9060 8578 8565
9135 8562 8431
8391 8598 8930
8254 8810 8876
9059 8814 8294
8941 8695 8564
8839 8742 8652
9129 8553 8439
8364 8264 8981
8407 8289 8950
8201 9092 8557
9116 8740 8340
8922 8370 8710
8886 8924 8281
8516 8611 8900
8947 8482 8641
8011 8702 8945
8370 8888 8793
8772 8237 8803
8447 9092 8336
8439 8820 8801
8648 8723 8785
8141 8582 8997
8781 8519 8748
8938 8672 8583
8324 8390 8962
8656 9019 8414
8932 8558 8659
8922 8446 8663
8643 8636 8856
9155 8714 8406
8131 8625 8953
9062 8743 8405
8953 8472 8659
8745 8831 8602
8046 8356 9027
8897 8300 8721
8894 8494 8679
8918 8641 8645
8119 8897 8852
8642 8989 8502
8506 9091 8288
8242 8441 9006
8496 8581 8916
9111 8506 8521
9069 8398 8555
