82739 2100.86
9601 8478 8103
9570 8629 8032
9435 8196 8509
8915 9201 8399
8837 8651 8884
8736 8724 8868
9588 8597 8067
8761 8803 8834
9429 8233 8489
8742 8948 8761
8771 8868 8815
9418 8254 8507
9385 8285 8560
8795 8966 8720
9562 8562 8083
9362 8272 8562
8805 8944 8723
9577 8616 8076
9512 8238 8368
8782 8848 8809
9565 8473 8211
9514 8646 8162
8819 8989 8712
9572 8455 8194
8860 9129 8506
9008 8833 8728
9504 8717 8089
9549 8565 8158
9395 8268 8552
8878 9059 8592
9160 8510 8706
9592 8433 8132
8775 8893 8789
9413 8853 8186
9337 8947 8072
8873 8814 8793
9487 8261 8407
8787 8817 8812
8920 8633 8846
8855 9046 8669
9598 8524 8111
9532 8594 8171
8882 9152 8460
8936 9183 8392
8842 8649 8874
8953 8727 8771
9080 9124 8328
8997 8982 8596
8933 9188 8384
8866 9174 8434
9356 8899 8247
9474 8806 8169
9079 8488 8778
8891 8704 8832
9522 8460 8324
9135 9078 8353
9048 8445 8818
9541 8385 8279
8898 9141 8468
8916 9015 8611
8910 9178 8422
8978 9193 8364
8876 8811 8799
9030 9156 8341
8927 9105 8504
9217 8449 8682
9511 8301 8362
9141 8612 8736
8816 8722 8860
9242 8553 8627
9600 8398 8127
9582 8441 8188
8941 8756 8785
8807 9098 8588
8969 8870 8707
9153 8706 8651
9029 8918 8622
8980 9162 8401
9399 8781 8251
9088 9068 8385
8948 8602 8855
9058 8599 8781
9041 9185 8302
9238 8469 8680
9189 8411 8714
9098 9072 8379
9575 8363 8226
9322 8465 8561
9044 9144 8367
9070 9099 8405
8896 9012 8635
9417 8308 8494
9586 8446 8142
9503 8688 8138
9391 8291 8526
9569 8545 8105
9234 8788 8464
8995 8708 8795
8958 8604 8839
9552 8610 8123
9213 8418 8704
8901 8605 8865
9527 8388 8348
9287 8797 8452
9147 8889 8572
9482 8672 8174
9594 8433 8113
9539 8437 8276
9509 8694 8117
9460 8699 8239
9304 8621 8521
9075 8884 8616
9434 8537 8411
9005 8576 8850
9366 8772 8286
9302 8732 8481
8981 9167 8375
8965 9088 8503
8961 9177 8372
8792 8879 8780
9267 8499 8601
9310 8477 8594
9010 8569 8822
9595 8413 8151
9535 8501 8306
9408 8462 8470
9325 8431 8603
9198 8504 8674
9102 8977 8480
9125 9038 8393
9479 8355 8414
8779 8931 8745
9468 8317 8420
9464 8550 8320
9243 9063 8281
9320 8831 8302
9504 8314 8377
9582 8346 8248
9276 8341 8678
9292 8306 8662
9020 9055 8453
9548 8677 8094
8926 8913 8735
9462 8750 8202
9155 8614 8687
9589 8423 8198
9514 8679 8121
9263 8615 8575
9186 8909 8491
8862 8884 8757
9249 8836 8444
8832 9095 8517
9530 8648 8101
9505 8673 8150
9253 8388 8646
8951 8580 8853
8930 8691 8836
9585 8544 8179
9317 8506 8581
9284 8951 8264
9077 8490 8783
9002 8907 8648
8870 8748 8806
9559 8396 8244
9497 8620 8250
8906 8967 8659
9537 8507 8241
9500 8518 8374
9421 8404 8476
9182 8902 8516
9133 8821 8637
9245 8327 8680
9194 8631 8639
8851 8820 8805
9489 8350 8388
9410 8759 8228
9178 8492 8709
9360 8857 8217
9255 8638 8555
9116 8769 8665
9110 8495 8745
9449 8573 8335
9447 8643 8305
9179 8586 8694
8869 9093 8546
8840 8973 8677
9459 8329 8425
9339 8654 8450
9067 9032 8461
8950 9029 8602
9221 8999 8394
9032 9169 8308
8847 8649 8868
9540 8581 8146
9472 8734 8192
9172 8764 8618
8809 8893 8763
9351 8369 8545
8844 8712 8849
9369 8751 8317
9011 9195 8311
9508 8553 8254
9226 8863 8432
9490 8709 8154
8894 8666 8864
9052 8866 8654
9442 8661 8246
9156 8859 8566
9131 8953 8441
8990 8908 8698
8836 8749 8829
8821 8845 8809
8811 8992 8697
8787 8993 8702
9263 8373 8643
9035 8882 8624
9031 8688 8769
9598 8406 8139
9501 8618 8236
9485 8651 8230
9275 8746 8532
9273 8950 8294
9270 8969 8293
9205 8486 8689
9111 9081 8354
8943 8910 8667
8925 8991 8630
9378 8844 8220
9343 8755 8311
9223 8557 8651
9211 8695 8609
9027 9005 8524
8829 8690 8872
9518 8626 8196
9123 8980 8477
9120 9020 8472
8814 8808 8826
8985 8945 8635
9390 8776 8285
9332 8324 8578
9404 8697 8338
9349 8419 8553
9346 8925 8259
9282 8481 8629
9251 8994 8262
9094 9116 8347
8975 9114 8500
9556 8400 8217
9453 8371 8468
9406 8237 8529
9335 8791 8329
9314 8555 8557
9168 8905 8505
9099 9026 8418
8888 9076 8551
9580 8394 8219
9475 8657 8261
9011 8528 8802
9364 8888 8129
9008 9051 8458
8945 9067 8571
8939 9118 8486
8905 9008 8633
9471 8520 8325
9403 8428 8488
9313 8784 8448
9258 8416 8636
9025 9003 8525
9014 9047 8497
8999 8957 8592
8974 9165 8381
8913 8921 8716
8903 9135 8456
9280 8894 8353
9261 8764 8478
8884 8964 8673
9554 8391 8260
9544 8379 8269
9528 8339 8342
9520 8530 8304
8955 9121 8436
8932 9133 8456
9108 8727 8683
9553 8535 8226
9364 8321 8551
9507 8729 8068
9445 8658 8326
9106 8858 8577
9529 8624 8177
9340 8769 8314
9117 9022 8428
9326 8928 8209
9259 8668 8549
9184 8710 8597
9145 9084 8345
9144 8649 8671
9021 8786 8725
8837 8811 8825
9569 8395 8204
9392 8812 8268
9290 8936 8232
9233 8681 8567
9230 8841 8501
9016 8763 8754
8776 8815 8827
9328 8804 8316
9174 8676 8612
8972 8734 8759
9430 8589 8357
9396 8846 8214
9354 8835 8290
9170 8771 8586
9046 8641 8748
8930 8927 8691
8806 8779 8844
9561 8558 8130
9544 8295 8288
9481 8718 8153
9428 8484 8415
9416 8374 8483
9383 8660 8417
9372 8675 8382
9311 8720 8496
9278 8664 8514
9272 8587 8536
9269 8941 8366
9256 8862 8409
9208 9080 8233
9206 8939 8398
9050 8881 8650
9023 9007 8528
8911 9138 8454
9202 8564 8657
9199 8840 8556
9177 8701 8608
8993 8864 8657
9488 8745 8116
9183 9052 8297
9483 8568 8274
9463 8669 8243
9351 8294 8572
9212 8578 8641
9114 8960 8530
9074 9150 8362
8894 9147 8493
9423 8234 8508
9345 8775 8298
9229 8426 8681
9203 8513 8664
9118 8955 8534
9004 9086 8510
9492 8560 8261
9095 9040 8394
9055 8961 8524
9144 8935 8541
9103 8353 8751
9536 8358 8289
9469 8739 8183
9458 8635 8266
9294 8363 8607
9084 9090 8438
8841 8873 8759
9086 8997 8487
9054 8458 8804
9163 9018 8436
9513 8335 8351
9430 8826 8197
9049 9110 8408
9049 8799 8663
8925 9160 8446
9439 8297 8487
9411 8383 8489
9060 8729 8741
9469 8258 8436
8914 8617 8857
8887 8677 8842
9494 8523 8322
9068 8685 8737
8956 9004 8564
9431 8755 8185
9165 8806 8605
9298 8858 8399
9555 8658 8098
9416 8727 8257
9351 8724 8359
9389 8876 8207
9362 8678 8404
9191 8711 8569
9227 8489 8655
9103 9114 8350
9073 8611 8749
9065 8937 8540
8946 8741 8755
8886 8714 8830
9451 8626 8334
9299 8816 8336
9236 8837 8449
9083 8832 8661
9018 8729 8752
8853 8941 8724
8922 8786 8804
9513 8547 8282
9512 8682 8096
9410 8761 8225
9252 8608 8584
9252 8590 8600
9218 8714 8538
9111 8912 8543
8915 8875 8740
9422 8684 8331
9382 8315 8511
9380 8702 8343
9283 8903 8333
9192 8970 8396
9190 8541 8693
9164 9025 8390
9046 8794 8695
9013 8789 8743
9437 8424 8424
9397 8809 8222
9352 8860 8266
9333 8685 8423
9128 9095 8337
9114 8838 8639
8988 9107 8447
8987 9108 8473
8959 9139 8435
8825 8972 8713
9375 8726 8351
9359 8730 8338
9063 9023 8506
