22437 180.055
16276 16142 16246
15918 16656 15922
16028 16553 16542
16110 16329 16303
15618 15631 17145
15940 16557 16642
15139 15980 16970
15390 15894 16911
15221 16121 16944
15533 15692 17032
15588 16232 16897
16152 16429 15943
15713 16165 16767
15124 16337 16922
15765 16852 16719
16235 15978 16855
15413 17016 16042
16254 16246 16321
15808 16442 16766
16219 16449 15838
15908 16774 16721
15841 16102 16728
15629 16506 16729
16092 16547 16401
16047 16635 16468
16270 16256 16132
15597 16613 16744
16047 16173 16699
15085 16618 16795
15621 16208 16834
15454 15729 17010
16074 15780 16940
15843 16192 16723
15757 16038 16772
15933 16221 16721
15726 16120 16896
16122 16490 15599
16439 15967 16522
16216 16384 16144
15580 16618 16770
16225 16320 16688
15696 16414 16790
16083 16334 16490
15507 16496 16811
