108244 2580.58
16045 16830 17887
16183 16826 17870
16280 16674 17995
16234 16616 18080
16360 16610 17901
16246 16598 18034
16306 16680 17930
16272 16754 17927
16307 16662 17892
16071 16698 17999
16348 16593 17915
16184 16686 18051
16202 16756 17990
16312 16661 17939
16191 16661 18019
16229 16780 17923
16377 16519 17895
16253 16700 17995
16329 16654 17969
16350 16537 17909
16284 16618 18001
16337 16518 17959
16398 16753 17865
16260 16782 17921
16277 16708 17929
16159 16824 17891
16265 16968 17740
16662 16678 17572
16653 16561 17599
16679 16658 17556
16193 17110 17607
16212 17133 17506
16015 16962 17746
16114 17147 17558
16352 16790 17855
16162 17105 17610
16198 17079 17736
16180 16993 17745
16152 17144 17550
16218 17066 17712
16500 16779 17841
16390 16728 17890
16667 16876 17530
16576 16779 17708
16571 16908 17580
16683 16803 17482
16628 16858 17531
16652 16890 17395
16573 16710 17755
16464 16881 17800
16487 16841 17743
16335 16944 17754
16640 16763 17563
16317 16940 17776
16559 16738 17777
16685 16756 17539
16215 16923 17799
16397 16828 17839
16651 16706 17609
16592 16854 17592
16727 16759 17410
16635 16734 17611
16628 16717 17623
16719 16717 17508
16519 16815 17715
16614 16862 17559
16425 16903 17763
16503 17013 17617
16337 16952 17749
16363 16910 17777
16380 16939 17746
16300 17127 17579
16531 16996 17695
16522 17028 17456
16331 17085 17632
16546 16988 17601
16317 16770 17885
16536 16901 17623
16486 16794 17780
16627 16949 17411
16588 16883 17599
16676 16758 17494
16633 16794 17558
16266 17158 17412
16711 16830 17474
16316 16962 17733
16314 17056 17706
16538 16882 17689
16536 16992 17549
16614 16923 17506
16500 17062 17591
16487 17021 17608
16605 16824 17591
16544 17005 17507
16533 17038 17318
16253 17173 17443
16090 17221 17384
16680 16944 17333
16403 16906 17778
16591 16877 17619
16391 16769 17862
16313 17179 17390
16443 17131 17393
16422 17072 17656
16337 17112 17600
16509 16711 17799
16508 16727 17778
16548 16771 17749
16492 16823 17735
16292 16871 17823
16552 16872 17641
16425 16653 17883
16349 17141 17419
16546 16878 17704
16253 17145 17478
16580 16750 17722
16396 17104 17554
16530 17016 17447
16520 16701 17798
16551 16918 17547
16563 16892 17596
16565 16830 17689
16570 16726 17751
16602 16792 17686
16563 16868 17662
16552 16692 17798
16279 17162 17410
16439 17139 17438
16510 16914 17725
16515 17053 17601
16531 16680 17817
16575 16812 17704
16611 16724 17652
16558 16821 17691
16444 17071 17526
16590 16533 17713
16621 16741 17638
16403 16859 17813
16560 16566 17803
16322 16954 17750
16436 16760 17851
16393 16933 17738
16600 16795 17680
16625 16697 17702
16412 16890 17812
16508 16799 17752
16501 16748 17818
16415 16794 17837
16652 16680 17599
16553 16807 17737
16643 16785 17561
16474 16874 17789
16314 17102 17644
16570 16863 17659
16597 16975 17533
16251 16840 17826
16113 17200 17370
16448 16602 17862
16158 16952 17756
16474 16796 17790
16510 16836 17730
16562 16563 17794
16579 16790 17692
16361 17154 17357
16514 17004 17629
16489 17085 17414
16315 17155 17317
16738 16793 17409
16613 16712 17656
16721 16775 17419
16184 16800 17842
16507 16764 17789
16704 16721 17485
16567 16983 17399
16585 16761 17693
16658 16698 17570
16583 16686 17741
16503 16666 17819
16437 16847 17824
16446 16923 17698
16450 16790 17850
16750 16659 17363
16405 17147 17343
16687 16872 17386
16626 16889 17483
16673 16776 17551
16598 16895 17551
16473 17092 17487
16176 17127 17601
16158 17180 17462
16568 16958 17546
16602 16852 17677
16438 17045 17728
16619 16822 17617
16456 17118 17508
16394 16908 17737
16629 16786 17586
