667 18.8428
15725 17461 16908
15609 17541 16784
15697 17546 16654
15599 17514 16942
15677 17583 16763
15626 17484 16777
15784 17470 16802
15696 17481 16748
15581 17560 16769
15617 17468 16821
15603 17494 16895
15603 17546 16771
15470 17605 16668
15747 17440 16841
16025 17300 16987
16067 17425 16830
15964 17411 16884
16053 17341 16843
16128 16783 16952
16034 16863 16951
15888 17497 16670
16367 17063 16768
16334 17210 16626
16162 17238 16875
16066 17180 16908
16027 16998 16949
16256 17106 16887
16225 17175 16871
16176 17037 16908
16282 17123 16853
16221 17213 16824
16420 17155 16749
16311 16999 16805
16439 17143 16736
16316 16990 16793
16301 17074 16802
16268 17008 16876
16252 17202 16845
16093 17468 16816
16105 17453 16580
16131 17314 16899
16192 17261 16845
16178 17249 16869
16196 17393 16833
16309 17285 16604
16086 17472 16638
16219 17439 16792
16216 17237 16880
15987 17379 16986
15970 17274 17030
16231 17256 16815
16234 17349 16793
15863 17326 17088
15839 17373 17014
15810 17216 17103
16288 17267 16739
16243 17321 16773
16068 17321 16837
16284 17300 16783
16286 17317 16612
15939 17038 17057
16081 17203 16902
15903 17477 16793
15701 17386 17089
15989 17303 16922
15893 17336 17067
15954 17141 17053
16086 17146 16945
15809 17253 17114
15928 17169 17089
15950 17006 17168
15927 17190 17162
15977 17258 17014
15625 17084 17232
