14902 960.604
17948 17325 17170
17520 17065 17984
17018 18556 16234
16681 18638 16410
15992 17763 18166
15864 18397 17677
16976 18598 16255
17485 17130 18041
17616 17070 17944
17421 18443 16330
16284 18043 18001
17742 17949 16815
16758 18591 16485
16733 18605 16352
15896 18483 17564
16981 18567 16420
16731 17560 18100
16249 18153 17863
16875 17213 18139
17228 17527 17915
16690 18603 16366
16319 18147 17870
17623 18182 16560
17908 17839 16846
17929 17307 17251
16203 17798 18124
16522 18269 17579
17882 17640 16894
17357 17494 17801
17273 18211 17109
16830 18481 16537
17135 18419 16594
17645 17467 17693
16897 17231 18117
17407 17487 17754
16964 18304 17098
16121 17819 18159
17006 17190 18139
17000 18477 16520
17906 17165 17540
16294 18025 17970
17708 18089 16684
17549 18183 16654
17920 17342 17134
17886 17332 17215
16345 18473 17349
16574 18010 17954
17163 18450 16458
16023 18467 17568
16555 17876 18074
16865 18121 17623
15912 18517 17547
16450 18435 17288
17805 17543 17338
16312 18296 17782
17648 18163 16633
17705 17722 17176
17500 17972 17063
17525 17353 17867
17778 18001 16723
17900 17603 16953
16510 18207 17747
17145 17542 17997
16908 18285 17303
17687 17735 17199
16645 18169 17723
16557 18174 17766
17855 17663 16937
17442 17148 18062
17621 17750 17227
16658 18133 17838
17065 18497 16425
17658 17891 17031
17596 17430 17754
15946 18512 17488
17859 17518 17145
16435 18112 17858
17379 17174 18067
17186 18131 17319
17305 18376 16695
16071 18058 18113
17345 17182 18083
16419 18415 17327
17468 18073 16986
17242 17934 17515
16678 18095 17849
17737 18046 16668
17608 17507 17598
16189 18369 17645
17175 18063 17373
17496 18220 16612
16610 17942 17952
17326 18112 17207
17890 17581 17008
17038 18355 16851
17240 18005 17505
17670 17843 17077
17643 17153 17892
16385 18315 17632
17837 17507 17266
17818 17871 16912
16217 18083 18039
17668 17313 17789
17301 17962 17417
17314 17963 17402
17152 17850 17753
17435 18369 16506
16246 18364 17495
17697 17923 16977
17457 18157 16741
17070 18119 17408
17402 18151 16881
15921 18504 17563
16374 18158 17832
17095 17654 17894
16231 18350 17670
16479 18078 17883
16762 18362 17275
16614 17994 17930
17710 17949 16940
15964 18523 17483
17490 18349 16443
17651 17889 17050
17054 18385 16804
17756 17784 17012
17596 17811 17242
17396 17687 17661
15956 18532 17446
16364 18338 17663
16723 17598 18050
17252 17458 17817
17190 18215 16877
17704 17576 17454
17540 17628 17545
16424 17865 18115
17866 17885 16792
17312 18445 16430
17313 18311 16762
16847 18433 16858
17074 18251 17256
17217 17930 17588
17395 18428 16381
17289 18299 16776
17128 18488 16344
16992 18262 17293
16835 18595 16405
17453 18296 16576
17821 17906 16793
17626 17763 17204
17663 17358 17730
17409 18053 17153
15972 18283 17903
17793 17984 16667
16005 18325 17874
15987 18469 17618
16178 18344 17738
17087 18189 17280
17202 17834 17708
17800 17572 17335
17720 17817 17173
16920 18276 17351
17506 17391 17858
17481 18248 16697
17549 17238 17965
17422 18198 16802
17574 17618 17600
16581 18391 17428
