2938 2845.34
18690 17233 17339
18151 18390 16519
17046 19034 17080
16845 16321 19682
16534 16558 19759
15898 18078 19009
15936 17821 19263
16883 16362 19669
17886 18695 16567
16025 17829 19215
18641 17244 17636
15967 17775 19279
15983 18003 19109
16538 16608 19750
15979 18048 19041
15951 17883 19203
18653 17335 17455
18681 17134 17450
18625 17264 17556
18659 17318 17527
16048 17954 19169
18674 17162 17377
15996 17762 19280
17379 18997 16897
17095 16426 19572
17182 19001 17097
17244 18990 17070
16309 18143 18869
18642 17464 17376
18616 17340 17532
17130 16724 19494
18178 18350 16649
16038 17819 19232
18689 17136 17370
16017 17695 19312
17273 19009 16984
16523 16634 19745
16615 16566 19737
17989 18590 16638
17178 16626 19474
16945 16417 19658
16835 16370 19678
16902 16411 19665
16058 17730 19289
18118 18411 16630
15998 17845 19257
18625 17251 17598
18545 17126 17897
17241 16380 19467
16965 18526 18105
17723 18521 17249
18605 17322 17537
18071 18501 16656
17305 18963 17040
17137 16404 19536
17031 16881 19432
16940 16667 19583
17075 16508 19567
16890 16528 19654
16658 16535 19720
16628 16521 19734
18667 17185 17616
18575 17471 17450
16303 18223 18793
16268 18370 18634
18667 17249 17459
17923 17051 18672
17160 18146 18338
16540 18232 18704
16203 17832 19162
16116 17906 19149
17391 16598 19314
16922 16515 19630
16781 16593 19679
17800 18748 16642
17265 19017 16932
16970 16401 19626
16888 16490 19657
18266 17795 17643
17985 18625 16586
17975 18569 16735
17917 18579 16843
16232 17810 19175
17123 19019 16954
16641 16673 19704
18169 18328 16672
17927 18661 16610
15958 17856 19232
17348 16876 19247
16240 17613 19348
16039 17847 19201
18139 17505 18109
17022 16947 19421
17960 18582 16700
17623 18541 17392
16123 18215 18885
17278 19011 16806
17223 18948 17159
18015 18561 16593
17067 18988 17144
16097 18074 19006
17735 16913 18999
17578 18812 16809
16498 17789 19058
17868 18654 16729
16004 17857 19226
17535 18870 16907
18564 17489 17447
16081 17982 19133
15952 18074 19049
17647 16992 18959
17378 16850 19231
17204 16644 19426
17154 17524 18903
17063 16888 19395
16721 16476 19722
18551 17631 17153
17627 17899 18223
16950 17392 19135
16416 18030 18926
18267 18225 16789
17365 18878 17151
17148 16883 19412
16602 16560 19747
18203 17028 18312
18123 17709 17830
18084 17972 17581
18079 17734 17984
18395 17284 17943
17856 18280 17483
17669 18795 16659
17628 18437 17541
16229 18177 18839
18310 17521 17886
17982 18629 16575
17016 18263 18334
16452 16652 19727
17243 16616 19443
17893 16905 18717
17776 18754 16579
17736 18760 16710
17511 18624 17346
16246 18012 19037
17085 16390 19599
17007 16446 19620
17861 18656 16742
17515 16718 19172
17119 16376 19563
18116 18427 16623
16144 17851 19174
17245 18960 17073
17205 18227 18261
16971 16571 19601
16155 17873 19153
17166 18974 17187
16282 17865 19118
16407 17826 19101
16089 17820 19211
17435 18953 16928
17057 16495 19576
16006 17897 19174
15961 17929 19186
17463 16693 19276
18423 17836 17122
18390 17867 17175
18094 17422 18254
17476 16818 19178
17496 18920 16902
18300 17641 17791
16168 17680 19302
17034 18910 17453
18056 16995 18543
17089 16459 19548
16843 18822 17784
16693 18680 17995
18254 17485 17959
17974 18415 17171
17877 18647 16796
17786 18717 16754
17360 18404 17949
17140 18553 17863
16909 16688 19611
18304 17449 17926
17371 18691 17548
16496 18694 18047
16400 18084 18955
16323 18285 18734
18555 17411 17578
16147 17550 19384
18403 17238 17940
18188 18324 16670
18187 18199 16993
18173 17245 18288
18096 17171 18408
17912 17647 18169
17827 18277 17585
17372 17921 18481
17357 18785 17285
16861 17923 18736
18410 17757 17367
18290 18002 17232
18232 17906 17503
18066 17952 17709
18002 17881 17923
17784 18654 16996
17686 17352 18723
17683 18340 17618
17373 18792 17253
17120 18730 17648
16214 18138 18941
16086 18059 19028
18064 17768 17882
17960 18609 16678
18032 18547 16616
17979 18546 16802
17794 18703 16879
17600 17751 18453
17576 18838 16831
16864 17664 18915
16603 18639 18083
16466 18105 18895
18219 18273 16600
18201 18005 17337
17978 17744 18036
17706 18668 17030
16804 18253 18486
16173 18035 19015
17768 17579 18457
17590 18836 16748
17265 16760 19366
18196 18300 16595
18193 18014 17341
18039 18544 16628
17964 17542 18292
17870 18613 16837
17767 18736 16694
17583 18824 16777
17218 17523 18874
16988 17688 18844
16648 16540 19733
16101 17758 19254
17309 18861 17214
17157 19024 16917
16702 16576 19703
16480 16841 19675
17367 16799 19311
17134 16921 19365
17128 16499 19530
16596 16587 19734
18542 17376 17648
16899 16584 19631
16897 16802 19562
18503 17274 17774
18064 18514 16572
16376 17282 19480
16182 18083 18971
16053 17816 19267
17189 18980 17101
16947 16383 19644
16916 16436 19653
18598 17402 17409
16187 17371 19504
16070 17774 19243
16065 17776 19247
17059 16765 19482
16800 16448 19694
16774 16463 19710
17563 18666 17247
17431 18852 17002
18514 17395 17671
18326 17292 18065
18216 17356 18144
17761 17343 18688
17581 17469 18693
17289 16935 19277
16206 17802 19238
16092 17689 19305
18212 17887 17523
18136 17932 17597
18087 16943 18536
16450 17919 19062
16332 17770 19159
16325 17722 19191
16278 18367 18626
16236 17668 19249
16085 17896 19187
18082 17397 18298
16424 17732 19128
16371 18719 17954
16139 17822 19192
16011 17759 19271
17351 18816 17262
16906 18915 17515
16807 16506 19683
18428 17538 17682
18264 17069 18184
17328 18551 17780
17171 18946 17195
17116 18356 18120
16885 16823 19542
16813 16460 19677
16623 16853 19637
16289 18217 18813
18535 17567 17350
18384 17467 17836
18348 18035 16890
18247 17074 18302
17846 16885 18876
17774 18627 17006
17650 18530 17410
17634 18102 18038
17269 17934 18555
16739 16779 19618
16367 17254 19491
16146 18055 18980
18579 17260 17756
18548 17339 17656
18506 17561 17474
17482 16797 19208
17428 18080 18238
17286 18453 17927
16718 16569 19699
16559 18255 18690
16491 18327 18554
16259 17704 19218
16159 18043 18995
16151 17755 19264
18560 17601 17201
18225 17870 17574
17499 18702 17242
16193 18256 18791
16161 17825 19183
16075 17470 19437
17173 16556 19487
18394 17543 17717
18277 17947 17353
18195 17204 18301
18164 18260 16948
18129 18342 16852
17935 18422 17112
17920 18542 16950
17847 17150 18669
17804 18533 17046
17551 17199 18932
17230 16502 19498
17141 18451 18070
16730 18246 18515
16706 18631 17981
16557 16786 19692
16477 17011 19584
18527 17724 17177
18275 17969 17387
18253 18069 17281
18238 17761 17728
18005 18061 17563
17908 18536 17010
17904 18611 16888
17712 17607 18470
17688 16700 19020
17645 17562 18611
17422 18881 16964
17344 17265 18929
17239 16711 19419
17169 17974 18547
16920 17157 19342
16874 17578 19060
16771 17019 19490
16393 17123 19522
16128 18073 18987
18462 17490 17638
16697 17061 19495
16294 18326 18654
16257 17876 19088
16201 17621 19293
16166 17968 19106
18454 17671 17480
17886 18645 16772
17170 16962 19329
17056 18903 17333
16357 17433 19378
18595 17445 17384
18477 17714 17236
18470 17438 17673
18446 17481 17662
18176 17827 17735
18148 18379 16785
18131 18322 16895
17972 18571 16817
17902 18377 17211
17667 17413 18674
17663 18490 17424
17647 18788 16812
17640 18141 17998
17582 17037 19011
17533 18912 16836
17359 16996 19228
17114 16807 19444
16873 18104 18619
16779 17047 19449
16356 18088 18935
18485 17555 17565
18161 18315 16900
17850 17846 18043
17759 18764 16688
17405 17645 18660
17300 17083 19165
16784 17669 18948
16775 17888 18899
16611 18504 18342
18192 17260 18227
18091 18443 16798
17922 18662 16582
17882 17935 18004
17617 18767 16913
17249 18203 18215
16975 17942 18682
16676 18110 18762
18435 17072 17972
18012 18554 16614
17670 17426 18623
16360 18484 18502
16348 18296 18720
18125 18401 16620
17949 18575 16737
17782 18729 16706
16639 17163 19470
17744 16698 18969
17351 16526 19399
17317 18905 17138
17184 16431 19509
17051 19029 17137
17026 18967 17243
16600 16630 19713
17590 17581 18566
17936 17146 18575
