134655 2100.28
19292 16437 15659
18393 18162 14967
17919 15475 18493
15823 19322 16647
15799 15908 20058
14645 18324 18541
14783 17729 19036
14852 18412 18500
14916 18275 18676
15042 17223 19343
15002 18781 18154
17333 15495 19069
16586 17873 18125
18173 18354 15382
18388 18100 15163
17581 15741 18913
18648 16925 16765
18081 18282 15754
17938 18441 14980
17918 18470 15007
15773 16077 19965
14959 17743 18979
18350 18131 15092
19106 16777 15795
18451 18074 15263
15123 18364 18517
18041 16029 18236
18963 16247 16737
18319 15824 17752
17713 17053 18041
14825 17780 18971
17757 18629 15340
17736 17691 17544
16686 19023 16876
17026 15678 19386
15537 19097 17403
16461 15869 19838
16491 19130 16707
17912 15534 18397
18662 17756 15406
18178 18053 15667
17896 15632 18479
18946 17130 16082
15352 18304 18637
19253 16408 15868
17443 18712 15319
18790 16488 17063
17315 16622 18570
17013 15958 19289
16026 16399 19757
15258 18646 18170
18821 17438 15235
16993 18850 16999
18059 18372 15166
19259 16351 15887
15184 17361 19325
18107 18205 15847
18837 16963 16291
15084 18194 18821
15449 18520 18334
16754 15782 19544
15140 17675 19028
17249 16877 18645
18357 18177 15065
17827 16496 17940
18977 16597 16596
16056 16038 19937
15166 18592 18292
19031 16657 16399
15392 18287 18567
18623 17494 16220
16672 16801 19132
15415 18965 17686
17011 16127 19161
18533 15561 17607
16496 16222 19487
18710 17081 16515
19006 16586 16549
16261 15702 19990
19087 16946 15979
18541 17537 15894
16701 18988 16689
15582 16381 19785
15198 16442 19785
18017 18433 15218
18992 16910 16145
16580 15840 19681
15567 18811 17648
16926 15993 19414
15387 18873 17711
18584 17257 16772
18368 18122 15560
15715 18730 17850
18861 17366 15699
18090 18110 15977
18349 18218 15048
17533 18545 16094
17688 18683 15302
17811 17106 17914
16007 19162 16857
17477 18694 16173
16092 18343 18087
17281 16063 18962
18921 16917 16498
16125 19060 17095
18760 16816 16632
16136 18488 17811
17945 18199 15923
15986 15747 20041
17387 15602 19043
15277 17095 19568
18299 18144 15087
17784 18395 16351
17657 18497 16526
18680 17725 15189
19026 17136 15524
16324 18186 17840
19129 16861 15484
17363 18665 16571
18201 17705 16943
16248 19013 17107
15991 18618 18009
16761 16713 19219
14808 18417 18444
17853 18160 16123
18460 17565 16305
17104 17937 17794
16329 19154 16272
17560 16274 18435
15308 17658 18978
16789 18312 17628
18249 17330 16952
15919 17689 18883
18802 17524 15427
18801 17143 16385
18870 16611 16783
16274 15669 19921
19044 16600 16509
15420 17973 18842
18777 17593 15638
18469 17920 15285
17924 17117 17863
16186 19201 16805
17198 16153 18896
18882 17273 15501
15691 16167 19922
18379 17983 15543
18278 17648 16341
16628 18628 17408
16385 15720 19872
18290 17716 16199
16474 19045 16835
17232 15514 19130
18135 15528 18085
18527 18011 15205
17067 18834 16795
16165 18266 18192
15076 18195 18685
16043 16054 19907
18504 16643 17259
18618 17161 16493
17157 18764 16608
16432 16193 19620
16066 15763 20023
15431 17911 18854
15964 17841 18622
16222 19178 16554
