36997 720.162
18950 16726 16858
17125 15421 19289
15994 15665 19849
15872 19468 14769
15472 19632 15650
14472 19314 17031
14648 19426 16830
14689 19361 16868
15244 19607 15904
17538 18848 15012
15077 19395 16803
17174 15540 19232
14735 19186 17354
14842 19559 16505
16247 19334 15052
18895 16940 16752
16923 16068 19527
17269 15473 19257
14766 18928 17698
17354 18789 15477
15447 17291 19053
15385 19580 15800
15754 18309 18447
17951 18491 15418
17000 15595 19452
16404 15709 19784
18012 16025 18356
18383 17506 16731
15033 19428 16817
16858 19136 14821
16700 15684 19579
14943 19499 16637
15540 19396 15912
14867 19503 16623
18909 16498 16890
16511 19297 14914
15461 19433 16145
16963 19042 15266
15414 19534 15776
18270 17591 16398
17986 18216 15374
18246 17884 16101
16717 19179 14856
15126 19618 15977
16050 17412 19005
16357 19290 14945
17467 18843 15093
18100 17320 17143
15497 17917 18525
17857 16191 18503
18796 16819 16914
18415 16716 17707
15423 19376 16606
18402 17575 16338
16177 15498 19848
18196 18194 15366
16335 19018 16538
18698 17015 17103
18739 16915 17129
15017 18497 17949
18590 17548 16007
15564 18472 18323
18497 16283 17676
14727 19285 17148
17777 17107 18106
15207 19470 16435
16764 18344 17392
16274 17694 18843
17372 17620 17846
17877 16598 18381
16902 19124 14801
16708 19082 15293
14811 19353 16991
17889 18239 16316
16472 15631 19736
18536 16403 17602
14902 18757 17765
17805 17464 17921
17598 17531 17979
17223 19072 15037
16485 18078 18042
17541 16243 18938
15816 19540 15178
15911 19454 15426
17878 17742 16669
16776 17117 19078
18452 16357 17780
18925 16752 16773
14785 19539 16684
18038 17914 16518
18576 17398 16419
16058 18111 18175
16898 17341 18553
15818 17704 18713
14965 19430 16473
16034 16746 19320
18659 17151 16187
18547 16578 17535
14903 19548 16370
18298 17013 17649
16598 17235 18807
16430 15651 19745
17141 16981 18743
16380 15506 19793
17588 18449 16762
16847 19155 15235
18142 16807 17903
16073 18420 18051
16855 17493 18565
15634 18886 17635
15166 18861 17746
18625 16957 17367
18174 18031 15950
17624 18087 16849
15737 19423 15788
17611 18268 16598
17497 17182 18608
17299 16227 19043
16709 15561 19591
17633 16585 18730
17105 16121 19338
15492 17790 18678
16957 18999 15351
18230 17718 16128
16027 15813 19769
18221 17876 16165
18124 18225 15284
16841 19065 15656
15714 19599 15449
17163 17828 17868
15881 18819 17206
18073 18161 15622
16669 15826 19677
17207 16881 18831
16748 18700 16489
16618 18983 15701
18466 17478 16044
17252 16269 19019
18514 16896 17408
15106 19098 17437
15859 19458 14973
15651 19470 15631
18156 17047 17738
17316 17564 18219
14981 19265 17080
14915 18648 17959
18786 17024 16553
17725 18712 15321
17183 17076 18664
14887 19346 16970
15180 18919 17613
17131 17629 18427
18817 16771 17052
18217 18009 16021
17019 17167 18785
17651 16768 18595
18027 16624 18068
15345 19116 17292
17245 18824 15844
16012 19459 14882
15372 18063 18462
17522 18691 15466
15948 18716 17691
17088 18323 17017
18509 16550 17571
15308 17896 18528
16743 19174 15212
16899 19059 15074
15973 18553 17623
17511 18591 16297
16438 17970 18291
17344 16871 18696
15960 15873 19717
15707 18538 17834
16541 19227 15208
15598 19558 15763
18428 16671 17836
18751 16868 17090
18837 16755 17132
18680 17451 15922
16913 18618 16649
18113 17801 16262
16645 19030 15675
17308 16468 18870
17038 15738 19426
18363 17032 17512
17703 16366 18634
16583 16297 19400
15264 19213 17323
17115 15904 19373
17922 16689 18177
15932 18807 17663
18445 17398 16450
18776 16781 16985
17813 17780 17068
17934 18262 15592
17717 16303 18481
17333 16133 19146
17706 16842 18392
18808 16800 16940
16721 18146 17889
18766 16948 16954
18340 17888 15534
16203 15732 19823
17745 17517 17264
18233 18033 15814
15630 19519 15458
16386 19228 15158
18064 18179 16154
18477 17388 16565
16154 16018 19665
18870 16827 16777
17482 16420 18820
17408 16139 19106
18672 16965 17220
16232 19202 15886
16262 19280 15345
16023 18462 17859
18088 16083 18098
17474 17555 17732
17559 17660 17462
15610 18391 18060
17792 16738 18440
16089 16180 19571
16824 16150 19493
17429 17604 18127
17668 17951 17232
16529 16922 19267
16978 17998 17818
16559 16454 19409
17078 18938 15749
14994 19404 16841
16813 18891 15979
18316 17846 15579
16882 17189 18764
17843 16839 18373
18524 17133 16692
17766 18285 16227
15575 17858 18613
16799 18835 16195
17417 17673 17419
15273 17426 18990
17035 15801 19411
16575 17943 18495
17910 18198 16304
16170 16207 19551
17426 17362 18288
15110 18966 17583
16162 18744 16936
17457 15583 18941
18135 16377 18024
16347 18519 17560
16911 16512 19216
16818 18100 17969
15999 19011 16925
18069 15995 18264
16568 16079 19643
18260 17283 17424
15985 19048 17180
16994 16094 19449
15482 19527 15930
17722 18440 15689
17006 18953 15865
16974 16390 19364
18015 15985 18408
14825 19413 16864
16926 17362 18539
17762 15892 18897
18610 16489 17435
16545 15926 19657
