91581 1080.14
24879 23730 24685
24584 23017 25044
25004 23858 24602
25527 24113 23860
24969 23650 24793
24335 24563 23644
25606 23647 23992
25188 24368 24276
24332 23923 25087
25582 22869 24439
25576 23776 23976
24932 24308 24603
25186 23752 24662
25713 23637 24409
25704 24081 23815
24587 23994 24663
24736 23873 24793
24011 24091 24649
25447 24033 24211
24825 23924 24684
24992 24220 24294
24997 24203 24625
25622 23729 23908
24915 23805 24628
25095 24407 24032
24759 23665 24841
24835 24369 24502
25371 24056 24260
25496 24200 24205
25076 24149 24354
25817 23485 24302
25326 24131 24545
24555 24466 24185
