747 120.186
26082 24975 25811
26201 25044 25554
25786 24776 25850
26009 25218 25359
26324 24775 25493
26378 24757 25501
26243 24773 25646
26136 24882 25717
26451 24678 25528
26217 24851 25667
26204 24915 25624
26379 24697 25518
26363 24767 25749
26374 24888 25307
26175 24918 25645
26072 24732 25915
26262 25137 25408
26203 24820 25724
26161 25088 25542
26144 24877 25827
26468 24693 25337
26253 24782 25627
25894 24600 25951
26030 25130 25620
26321 25037 25608
26213 25078 25529
26145 24842 25777
26406 24852 25441
26224 25100 25526
25950 25132 25569
26182 24869 25692
26155 25104 25708
26198 24792 25818
26168 24997 25644
