1261 2703.17
29651 26307 25689
28640 27621 25141
28590 25096 27861
27057 28336 26362
26610 25742 28850
25932 26754 28476
27208 28313 26252
27172 28289 26373
28240 25130 28064
27877 25151 28407
28416 25179 27953
28531 27622 25204
29046 27132 25298
28577 27603 25173
27742 25107 28433
25962 26672 28507
25962 26647 28557
25990 27624 27627
26961 28335 26488
29330 26812 25375
27690 25244 28458
28920 27272 25284
29631 26322 25543
26034 26844 28418
27734 25144 28464
27013 28271 26437
28851 27381 25315
28903 27389 25232
26176 26944 28260
28721 25227 27649
28531 27665 25162
28614 25272 27633
28546 27629 25155
26098 27611 27674
28857 27407 25215
29567 26355 25579
26203 26593 28597
26193 27608 27646
26938 25530 28836
26084 27399 27885
29644 26229 25890
27081 28257 26379
28665 25205 27772
29259 26853 25457
26019 26885 28410
28289 27827 25387
26151 27282 27989
29615 26211 25925
27891 25260 28359
26803 28088 26779
26113 26909 28303
29624 26298 25753
28510 27668 25211
27868 25307 28373
26117 26656 28534
28724 27574 25321
29574 26335 25712
29266 26755 25518
28766 27499 25142
26960 25377 28847
28951 27232 25273
26629 25934 28784
26214 27344 27845
27968 25284 28295
27259 25389 28777
27324 27443 27324
27279 27178 27431
29588 26204 26009
28412 27692 25507
26859 26073 28610
27371 25403 28655
29205 26915 25365
29595 26282 25795
26653 26346 28567
28793 27100 25941
27681 25271 28479
28200 27852 25448
27331 25422 28704
27528 25432 28516
26292 26990 28199
26050 26987 28247
27213 25531 28711
29143 26761 25812
26161 26837 28404
26970 28238 26561
27087 25610 28743
27047 28261 26417
26140 26917 28301
27371 25586 28603
28210 25213 28115
28752 27486 25241
29357 26751 25504
27227 25639 28671
26758 25648 28828
28265 26536 27332
26586 26518 28383
27584 25254 28564
29218 26643 25963
26146 27727 27551
26011 27555 27737
27902 25296 28329
27062 28096 26720
27319 27744 26902
27757 26216 27922
26167 27822 27346
26075 27294 27963
29546 26266 25951
28597 25354 27712
29227 26809 25695
29561 26367 25555
29224 26914 25333
28680 25903 27439
29372 26603 25934
29211 26930 25339
29608 26182 26047
29601 26251 25893
29583 26324 25568
29538 26437 25574
25992 27734 27575
26283 27416 27801
27630 28020 26215
27815 27776 26298
27333 28226 26209
26690 25864 28772
29315 25851 26630
27533 26032 28197
28140 27897 25500
26878 25574 28833
28128 27708 25897
27417 28125 26372
27107 27993 26800
26698 27523 27579
27318 25601 28635
28903 27319 25251
29257 26824 25475
28774 27234 25845
27712 27096 27270
27150 25802 28583
29199 26259 26555
29120 26607 26200
27301 28192 26321
27174 28164 26489
28788 27398 25413
28762 27414 25357
28335 27673 25587
28678 27449 25436
29169 26737 25807
26741 26666 28354
26043 27712 27553
27270 27960 26705
27898 25216 28340
29203 26953 25369
27061 28250 26508
27817 25698 28189
26353 27781 27366
27509 28183 26242
26705 25761 28821
29480 26165 26146
27659 26007 28112
26558 27760 27360
28104 27923 25671
27836 25976 28019
28489 27250 26259
26541 26168 28680
29368 26150 26322
28530 25103 27825
28289 25187 28045
27710 27753 26497
29467 26388 25955
26985 27393 27496
28968 25937 27021
28955 26288 26728
28099 27007 26961
26018 26889 28341
29062 26657 26256
27379 25455 28637
26401 26356 28586
26775 28208 26653
28377 25335 27930
29047 27125 25247
28043 27045 27032
26568 27058 27966
29439 25892 26390
27804 26879 27319
29540 26107 26150
26381 26461 28537
26171 27232 28042
26104 26705 28456
26004 27674 27613
28903 25446 27336
27237 25486 28716
28923 25184 27320
28261 25410 28001
28538 27608 25172
29076 27075 25469
29310 26670 25900
26063 26722 28449
26000 26733 28466
26130 27407 27827
28548 25442 27664
28541 25579 27679
28267 25103 28161
28027 25503 28124
27010 25784 28718
26873 28171 26645
28018 27755 26086
27278 25527 28688
27183 28151 26529
28445 25795 27631
27078 28213 26532
26667 28109 26886
28005 26075 27865
26909 27857 27037
28740 27270 25857
28447 25411 27874
27874 25310 28301
27829 25623 28249
27229 28230 26376
28365 27652 25764
28308 27694 25816
27848 25225 28377
28100 27863 25740
27876 26026 27984
27840 25614 28271
29275 26475 26138
29051 26403 26470
27891 25509 28283
26312 27588 27600
26195 26860 28363
28019 27071 27048
27594 27136 27263
26053 27087 28186
27896 25249 28351
28284 27052 26639
28301 27699 25783
28727 26128 27287
28420 27645 25528
26780 27794 27170
26670 26333 28502
28886 27129 25851
28629 26120 27306
27735 25993 28053
27493 28023 26458
26453 27387 27741
29431 26138 26238
29027 25818 26936
28848 26719 26396
26886 25806 28748
29409 26422 26008
26322 27208 27999
26637 27790 27312
29266 26531 26182
28228 25194 28108
28779 27451 25266
28804 27273 25702
29078 27100 25429
28927 27256 25462
26814 25848 28794
27165 27609 27156
26778 26086 28630
29154 26777 25798
28526 27596 25400
29252 25999 26570
29179 26543 26189
27750 27810 26440
27373 28119 26468
26617 27271 27849
26611 27295 27800
26374 25970 28801
26217 26829 28392
26236 27193 28060
26198 26866 28329
27198 28266 26280
27738 25300 28422
28999 27205 25260
26746 26250 28540
26510 26438 28573
29032 27074 25571
26794 25858 28807
29325 26670 25684
28094 27561 26293
28109 26307 27576
26056 27549 27702
29114 26394 26466
27244 28147 26476
26897 28114 26716
28152 25316 28154
27245 27886 26722
27166 25493 28721
26721 26055 28673
26969 27952 26919
27793 25439 28310
27622 25747 28324
27945 25387 28241
27563 28104 26309
27239 25693 28625
28191 25861 27830
27447 25656 28501
27573 27973 26305
28821 27219 25680
27641 25323 28455
26969 28219 26579
29041 26465 26446
27449 28144 26312
27173 25652 28664
29137 25735 26824
28166 25826 27948
27469 26163 28208
27018 26527 28100
27436 27943 26644
27214 26574 28099
27110 25545 28818
29140 26290 26604
28010 25514 28175
28957 26894 26076
28569 27361 25861
28224 27447 26341
28151 27085 26868
26561 26931 28102
28933 26559 26549
26798 27904 27069
29350 26622 25840
27691 25811 28266
26810 25962 28733
28208 26363 27475
27962 26071 27906
27800 25757 28211
27686 26430 27753
27657 25345 28436
26773 26008 28695
29487 26320 25971
28587 26694 26812
27627 27614 26700
27462 26468 27919
26664 26791 28251
26604 26031 28714
26430 27940 27135
26263 27660 27527
29195 26124 26636
28945 26295 26782
28845 27350 25395
28217 25364 28025
26894 27152 27732
26449 27715 27407
26260 26770 28356
26228 27217 28006
28795 27056 26056
28627 27400 25621
26393 27328 27861
28115 26184 27788
26221 26688 28476
28978 27207 25393
28875 27343 25350
28251 27704 25771
26264 26562 28511
29518 26400 25788
28979 27024 25766
28911 27277 25401
28071 27499 26366
27053 26665 28094
26889 25787 28728
29380 26774 25490
29056 27035 25609
28985 26871 26050
28816 27285 25522
28460 25920 27572
28383 27749 25261
29449 26080 26342
29424 26541 25707
29146 27030 25441
28991 25816 27122
28926 26479 26610
27402 27146 27387
26414 27154 27937
26325 26367 28612
29099 26802 25958
28691 26616 26776
28610 25961 27395
28040 26642 27380
26819 27552 27459
29231 26725 25796
28799 26109 27093
28654 27333 25871
28431 26624 27039
27407 25466 28624
29573 26193 26019
28562 27099 26301
26734 28201 26659
26387 26926 28218
26379 26724 28373
26269 26778 28321
26123 27814 27424
26013 27463 27796
29363 26177 26288
28802 27473 25237
29142 27014 25547
28376 27775 25347
27495 25990 28255
29525 26480 25655
29456 26246 26164
26692 26281 28527
28757 27302 25536
28534 26927 26593
26549 27004 28067
29434 26641 25438
27683 26782 27512
29185 26547 26153
28121 27439 26381
26279 27711 27478
29649 26173 25868
29123 26593 26194
28146 27796 25757
26255 26572 28517
29530 26361 25888
29404 26588 25723
28639 25271 27627
28971 25199 27189
28605 25290 27632
28369 25779 27637
28330 25321 27993
27715 25329 28431
28772 27407 25328
28658 27389 25631
29173 26136 26588
27200 25419 28741
27186 28153 26464
29029 25469 26983
28777 25368 27516
28270 25594 27959
28297 26407 27354
27636 25383 28523
27191 25492 28756
28320 25873 27757
28124 25952 27840
27286 28269 26174
28494 25772 27563
28248 27696 26013
27482 27854 26647
27344 28194 26314
27285 25342 28723
26853 27921 27035
26194 27320 27901
29486 26398 25910
29227 26003 26635
28899 25634 27194
28822 26341 26807
28238 26576 27248
27931 25484 28292
27355 28222 26232
27116 27678 27126
26507 27683 27426
28939 25620 27127
29564 26095 26063
27354 25450 28640
29211 26900 25748
29188 26049 26738
28914 25590 27292
28831 25685 27229
28337 26147 27494
28271 25507 27976
27826 27816 26230
27363 25472 28627
27142 25996 28561
26837 25755 28797
29336 26160 26363
29255 26313 26320
28765 25338 27533
28293 25524 27957
28075 25897 27943
27205 28027 26650
26996 26078 28565
26888 28179 26598
26793 27907 27055
26583 26449 28441
26404 27258 27913
28565 25753 27504
27886 25540 28191
27812 27949 26094
26764 27900 27077
26678 28139 26758
29514 26257 25980
27001 25562 28801
26581 26850 28183
28727 27512 25270
28077 27470 26492
27447 26115 28230
26974 25577 28789
29054 26447 26421
28619 27489 25760
28161 25912 27894
27991 25431 28225
27901 27641 26534
27810 27351 26870
27740 28014 26169
26902 27929 26956
28852 27034 25968
28835 26561 26656
28812 27290 25547
28141 27341 26519
28007 25675 28060
27884 25738 28140
27883 27429 26759
27775 27880 26225
27725 25288 28451
27460 26890 27656
27342 27242 27383
26550 27918 27235
29553 26347 25918
29343 26516 25968
29302 26054 26460
28887 27076 25850
28860 26267 26866
28729 25680 27377
27979 27424 26681
27746 27541 26727
27357 26038 28366
27293 28214 26250
27084 26428 28277
26362 27813 27323
26359 27544 27598
29462 26264 26073
28339 27533 25929
27946 27970 25598
26708 26462 28396
26631 26131 28701
26388 27918 27246
29500 26309 25997
29320 26379 26254
28480 25539 27725
26716 27306 27637
29011 25685 27027
28712 27519 25342
28556 27246 26110
27227 26088 28413
28674 27431 25606
28308 25893 27671
27192 27600 27107
27004 27877 26897
26870 25647 28814
29399 26496 25848
29186 26946 25788
28982 27199 25667
28936 27164 25734
28897 26728 26326
28892 27304 25479
28841 26542 26563
28820 26378 26796
27855 25554 28220
27713 26976 27398
27549 25879 28347
27467 25890 28399
27241 27526 27152
27140 25630 28736
26965 26814 27892
26907 26608 28214
26655 27363 27729
26552 26351 28484
29468 26236 26079
29299 26796 25443
29270 26726 25682
29228 26822 25640
29167 26983 25618
28701 27279 25720
28623 27484 25718
28405 25971 27594
28324 26597 27112
27167 27330 27484
27148 26969 27756
26727 26183 28591
26490 27620 27547
29415 25984 26359
29324 26089 26376
28919 26877 26172
28909 26875 26236
28326 25521 27940
27958 27782 26186
27027 27815 27040
26702 26153 28600
26686 27684 27348
26598 27826 27254
26521 27310 27833
29457 26208 26128
29345 26312 26226
28929 26332 26828
27233 27080 27552
26726 26678 28250
26368 27530 27612
26294 26513 28527
29505 26484 25620
29094 27107 25355
28604 26134 27263
28374 27642 25801
27203 25563 28677
29478 26176 26105
28818 27316 25495
28499 27246 26158
27443 27888 26615
27440 27385 27087
27011 27545 27310
26821 26425 28344
26529 25978 28754
29284 26563 26067
27181 27493 27329
26431 27663 27509
29445 26598 25562
29374 26589 25855
28964 26732 26287
28895 26985 25929
28890 26277 26857
28756 26684 26596
27807 27892 26222
26517 27345 27735
26099 27475 27787
26039 26673 28488
28476 27545 25839
29594 26359 25564
26487 27481 27621
28201 25221 28181
27256 28185 26399
26590 27164 27915
29335 26307 26267
27267 28204 26270
27136 28235 26392
27109 28244 26414
26775 27927 27056
27298 27881 26699
27242 25499 28715
28195 25681 28040
27990 26029 27918
27774 25566 28316
28843 25841 27144
28230 25599 27941
27856 25381 28327
27707 25662 28394
27640 25415 28451
27345 27266 27297
27343 27955 26688
29282 26651 25950
28024 26345 27614
27081 28197 26517
28838 25625 27468
28761 26683 26618
27514 28162 26240
27448 28056 26475
27277 26677 27862
26516 27861 27249
29274 26674 25960
29068 26912 25865
28984 26354 26724
28285 25349 28008
28061 25944 27870
27997 25687 28090
27651 27675 26626
27247 28024 26677
27105 25799 28697
27054 28072 26731
26712 26327 28519
28808 26569 26746
28775 26010 27180
28732 26219 27070
28621 25346 27622
28596 25314 27790
28304 27358 26246
28281 25285 28046
28199 27160 26684
28026 25769 27993
27843 27819 26132
27719 25843 28204
27672 27590 26682
27561 25964 28299
27206 28176 26433
27015 28107 26669
26754 27395 27606
26752 27724 27344
26660 27433 27618
26621 27223 27912
28782 25832 27258
28682 26857 26491
27823 25393 28318
27223 28037 26636
26998 25723 28765
26898 28132 26706
26811 27225 27694
28403 27046 26558
27105 26762 27927
