43465 1980.87
3829 3676 3410
3497 3925 3370
3581 3899 3352
3828 3770 3251
3618 3917 3252
3873 3617 3301
3766 3830 3254
3445 3533 3735
3777 3449 3567
3904 3521 3377
3885 3568 3368
3602 3805 3487
3460 3642 3669
3448 3710 3636
3681 3695 3530
3549 3828 3506
4012 3426 3230
3427 3960 3325
3547 3868 3440
3621 3369 3752
3594 3501 3678
3705 3535 3620
3799 3566 3506
3512 3708 3598
3523 3383 3771
3614 3850 3411
3493 3858 3484
3549 3599 3654
3806 3506 3520
3720 3803 3363
3769 3785 3322
3941 3409 3393
3747 3699 3468
3567 3749 3548
3556 3643 3624
3673 3828 3382
3713 3703 3499
3677 3635 3594
3792 3644 3454
3654 3857 3300
3632 3432 3673
3699 3617 3593
3478 3788 3560
3682 3798 3417
3715 3487 3623
3661 3762 3454
3968 3428 3296
3520 3495 3718
3880 3455 3433
3547 3537 3683
3800 3707 3397
3738 3565 3543
3384 3952 3423
3533 3792 3542
3928 3458 3362
3755 3728 3405
3953 3463 3268
3888 3485 3414
3533 3449 3727
3790 3739 3333
3383 3341 3816
3365 4058 3176
4012 3426 3230
2722 2952 2750
2976 2886 3072
2463 2575 2503
2271 2542 2541
2568 2670 2597
2840 2919 2737
2820 2897 2699
2788 2739 2873
2568 2350 2452
2769 2676 2996
2731 2854 2844
2595 2709 2657
2861 3005 2672
2826 2459 2675
2834 2512 3031
3071 2734 3068
3346 3006 2925
3062 2870 3064
3053 2598 2711
2565 2742 2601
2450 2517 2580
2752 2829 2838
2390 2247 2470
2758 2896 2748
2599 2678 2534
2301 2433 2575
2948 3014 2664
2807 2748 2711
2726 3073 2801
2448 2311 2364
2611 2580 2771
2904 2753 2832
3081 2777 2717
2938 2956 2900
2992 2723 3034
2749 3118 2762
2567 2550 2594
2823 2910 2930
2748 2539 2727
2649 2879 2763
3057 3141 2974
2957 2809 2634
2660 3049 2945
2930 2846 2858
2418 2753 2549
2408 2537 2553
2726 2803 2655
3036 2729 2822
3233 3061 2893
2977 2954 2823
3217 2917 3049
2637 2855 2673
3109 2855 3013
3149 3026 2941
2887 2739 2776
2807 2770 2799
2945 2651 2869
2598 2716 2364
2416 2276 2314
2713 2947 2903
2761 2873 2869
3024 2827 2716
2815 2976 2911
2560 2763 2881
2608 2881 2682
2900 3008 2969
2864 2501 2838
2818 2781 2614
3043 3129 2821
2678 2782 2750
2632 2709 2687
2956 2845 2863
2986 2964 2822
3100 3031 3097
2201 2540 2358
2773 2889 2869
2579 2804 2971
2849 2999 2844
2966 2988 2785
3018 2912 2918
2837 2779 2836
3010 2925 2788
2555 2543 2673
2446 2532 2504
2560 2564 2525
2832 2840 3055
2854 2816 2956
2752 2724 2679
2807 2790 2786
2885 2727 2890
2933 2642 2679
2864 3019 2858
3007 3044 2767
2945 3241 2755
2849 2753 2925
2509 2425 2938
3009 2994 3079
2894 2639 2618
2735 2673 2799
2913 2825 2573
2811 2654 2703
2672 2879 2675
2920 2975 3026
2825 2981 2889
2622 2640 2732
2859 3004 2884
2618 2633 2559
3035 2770 3101
2503 2555 2626
2713 2654 2664
2528 2556 2510
2660 2506 2566
2679 2841 2550
2824 3022 3003
3076 3023 2959
2821 2795 2415
2808 3029 2792
2816 2671 2488
2851 3006 2966
2832 2880 2773
2510 2527 2539
2966 2675 2860
2592 2422 2765
2527 2619 2946
2719 2790 2958
3256 2995 2973
3137 2922 3039
2864 2812 2908
2675 2795 2797
2673 2962 2744
2603 2679 2768
2523 2582 2679
2859 2880 2463
