48 0.427045
3786 3472 3381
3616 3789 3251
3332 3427 3738
3332 3427 3738
3302 3976 3302
3160 3797 3576
3761 3624 3315
3394 3467 3692
3696 3526 3489
3330 3934 3343
3378 3910 3371
3733 3480 3400
3616 3789 3251
3223 3846 3571
3564 3502 3606
3431 3548 3648
3160 3797 3576
3342 3575 3722
3469 3504 3654
3434 3876 3434
3330 3934 3343
3270 3661 3698
3525 3848 3289
3353 3898 3494
3282 3439 3736
3223 3846 3571
3713 3644 3408
3668 3682 3473
3672 3650 3326
3525 3848 3289
3485 3489 3655
3495 3908 3388
3420 3617 3662
3443 3655 3630
3653 3735 3458
3577 3707 3519
3786 3472 3381
3530 3809 3423
3598 3751 3423
3549 3641 3589
3589 3605 3604
3637 3690 3527
3704 3639 3480
3517 3743 3544
3527 3572 3642
3415 3694 3589
3375 3474 3712
3602 3468 3558
3578 3760 3460
3454 3829 3483
3400 3435 3694
3600 3845 3418
3270 3661 3698
3427 3877 3435
3539 3709 3539
3280 3671 3638
3481 3766 3577
3362 3672 3600
3420 3617 3662
3637 3690 3527
3449 3835 3436
3560 3620 3580
3589 3605 3604
3342 3575 3722
3655 3634 3550
3282 3439 3736
3375 3724 3582
3483 3788 3495
3454 3829 3483
3727 3632 3445
3511 3781 3485
3530 3778 3465
3309 3773 3565
3362 3672 3600
3406 3631 3650
3672 3650 3326
3503 3746 3511
3533 3735 3559
3669 3666 3382
3403 3711 3580
3276 3798 3547
3380 3720 3589
3535 3788 3447
3584 3617 3575
3354 3797 3532
3670 3573 3509
3375 3474 3712
3319 3794 3562
3513 3629 3603
3382 3787 3535
3319 3794 3562
3443 3655 3630
3494 3801 3464
3431 3848 3438
3309 3773 3565
3536 3768 3488
3444 3840 3518
3656 3644 3486
3503 3746 3511
3382 3787 3535
3444 3840 3518
3527 3572 3642
3494 3801 3464
3727 3632 3445
3427 3877 3435
3375 3724 3582
3670 3573 3509
3380 3720 3589
3656 3644 3486
3444 3840 3518
3309 3773 3565
3282 3439 3736
3672 3515 3388
3527 3380 3575
3504 3436 3641
3434 3897 3255
3250 3894 3463
3395 3659 3585
3296 3846 3457
3616 3488 3545
3485 3849 3267
3567 3619 3536
3640 3575 3519
