8008 1382.05
2726 3591 3312
3471 3472 2728
2503 2271 3271
3017 2610 2891
3165 3408 2814
3092 3700 2636
2891 3633 3597
3478 3850 2888
2945 3744 3065
3737 3219 3201
3342 3047 2428
3240 4084 3027
2440 3092 3125
2601 3353 3373
3814 3189 3248
3033 3463 3659
3144 2928 2673
2758 3260 2980
3143 2851 2825
3801 3270 3531
3254 3058 3556
2853 3623 3494
3018 3063 2938
3039 3121 2785
3805 3038 2885
2885 3534 3572
3184 2876 3029
3229 3379 2576
3262 3464 3324
3174 3632 3032
2918 2886 3668
3207 3198 2776
3167 3706 3501
3349 3180 3388
3590 3362 3386
3011 2748 2537
2484 3457 3143
3009 2711 3052
3664 3047 3595
3126 3096 2926
3631 3251 3249
3342 3623 3538
3037 3227 2979
2368 3022 2403
3455 3096 2957
3509 3076 3139
2764 3264 3030
3062 3646 3171
2877 3059 3370
2550 2990 2942
2654 2685 2702
3830 3281 3260
2865 3750 3117
3708 3522 3007
3530 3020 2820
3499 3489 3025
3386 3926 2852
3397 3751 3193
3513 3640 3094
3263 3295 3289
2329 2763 3073
3226 3600 3110
3033 2519 2554
3397 3217 3157
3202 3409 3537
2372 2545 2635
3367 3450 3102
3536 3810 3371
3561 3552 2881
3484 3418 2950
3288 3695 2983
3753 3264 3078
2629 2812 3493
3220 3524 3310
3304 2767 3316
2712 3103 3224
3224 2894 2803
3674 3117 2887
3145 2715 2804
2624 2797 2611
2842 3646 3206
2669 3487 3123
2603 3292 3350
3499 3235 3147
3738 2965 2968
3273 2790 3093
3377 2948 2726
2857 3511 3011
3238 3275 2833
3317 3536 3040
3863 3274 3218
3711 3418 2829
3491 3214 3458
2801 3769 2903
3154 3430 3290
2912 2779 2242
3736 3327 3190
3464 3844 3489
2862 3280 3546
3603 3723 2956
2842 3245 3645
3577 3244 3111
2729 2825 3135
2800 3423 2658
3805 3406 3103
3555 3214 2862
3366 3251 2720
3093 2983 2579
3332 3073 2839
3114 3071 3472
3548 3525 3115
3616 3159 3140
3273 3419 3236
3305 3236 3731
2963 2912 3570
3417 3535 3364
3906 3210 2963
3674 3539 3204
2955 3467 3191
3098 3014 2929
3498 3354 3481
2785 2635 3099
3202 3163 2864
2799 2644 3018
2669 3316 3512
3314 2961 3046
2669 3045 3427
3041 2805 3250
3220 3021 3691
3561 3231 3150
2998 3234 3840
3402 3671 2817
3155 3536 2977
2856 3579 3043
3135 3529 3650
3963 3521 3119
2571 3214 3122
2803 3439 2828
3429 2823 3170
3456 3057 3297
3192 3338 3384
2993 2585 3071
2891 2740 3169
2755 3722 2814
2878 3577 3469
2894 3102 3301
2916 3417 3620
3628 3239 3396
2704 2854 3380
3561 3553 2891
3332 3323 3188
3833 3225 3339
2729 3414 3238
3086 3312 2934
3039 2711 2883
2917 2932 3504
3146 2832 2884
3508 3694 2755
3070 3168 3056
3039 3265 3383
2857 2755 3279
3126 3078 3570
3286 3100 3266
3064 3093 2894
3002 3022 2937
3794 3528 3294
3183 3244 2774
3469 3251 3233
2872 2793 3237
2882 2815 3230
3071 3133 3383
2845 3378 3011
3214 3163 3587
2935 3478 2820
2957 3195 3018
3268 3609 3576
3256 3530 2799
3045 3160 3584
3736 3469 3031
2523 2857 3512
2712 2969 3684
3819 3397 3088
3010 3765 3167
3652 3289 2978
