3217 2172.67
9002 9425 7772
9652 8336 8103
8176 9779 8002
7836 8243 9460
8767 7933 9176
7594 8713 9371
8902 7977 9069
8767 7933 9176
7657 8625 9415
9013 9388 7795
9002 9425 7772
8143 9684 8246
7632 8706 9370
7957 8286 9458
8183 9763 7998
9434 8676 8430
7620 8753 9326
8098 9756 8087
8089 8943 9067
9637 8430 8091
8295 9737 8119
7600 8649 9385
8072 8411 9361
8688 8091 9175
9490 8926 7897
7866 8432 9447
9015 9378 7889
8062 8445 9323
8771 8394 9090
8583 8899 8855
8604 9349 8378
9067 9355 7836
8282 9674 8264
8590 9613 8070
8176 9779 8002
8323 9695 8175
8169 9531 8554
8667 9032 8746
8832 9538 7826
8015 9022 9056
9614 8350 8133
8865 8048 9108
9621 8590 8051
8475 8950 8864
8076 8222 9403
7805 8842 9257
7788 8764 9321
9269 8834 8385
8942 9421 8064
7718 8737 9330
9379 9067 7808
8132 9523 8570
8882 8161 9016
8833 7979 9152
8981 8061 8987
8153 9389 8709
8422 8231 9219
8463 8144 9293
8685 9274 8524
8500 9306 8595
8251 8810 9095
7897 8651 9302
9020 8186 8900
9457 8864 8105
7997 8353 9413
9126 8294 8813
7797 8929 9207
9072 9345 7875
8555 7988 9273
7891 8609 9347
7887 8513 9423
8747 9571 7851
9287 9127 7921
8306 8552 9191
8870 9481 7901
8599 8028 9261
8567 8098 9253
7926 8410 9418
8277 9734 8178
8928 8082 8982
8548 8007 9267
7734 8661 9366
9463 8330 8452
9546 8606 8177
8791 9347 8266
9487 8857 7955
7902 8375 9430
7929 8348 9433
8891 9174 8435
9044 8104 8908
7674 8581 9396
8850 8036 9118
8386 9709 8132
9320 9089 7939
9096 9352 7816
8126 8904 9079
9645 8341 8112
8371 9452 8589
8003 8983 9061
9172 8763 8501
8627 8738 8925
8215 9000 9029
8007 9051 9004
8499 8154 9264
9179 9209 7923
8119 8621 9220
8697 9449 8259
9427 8658 8439
7755 8997 9131
9072 9343 7942
8841 8137 9117
9157 8279 8807
8540 8312 9188
7846 8476 9425
9342 8383 8506
7747 8703 9350
8643 8053 9234
8382 8112 9334
8399 9650 8174
7934 8735 9288
7813 8549 9412
8898 9360 8225
8795 7986 9153
7722 8880 9243
8504 9270 8652
8257 9364 8681
9580 8373 8291
7984 9088 9064
9643 8539 8075
7682 8751 9336
8635 9563 8198
9211 8875 8360
8288 8345 9308
8337 8852 9024
8858 9016 8608
8429 9639 8228
8646 9331 8521
7734 8661 9366
7979 8418 9398
8998 9385 7821
9067 9223 8084
7954 9344 8721
8797 8313 9046
8836 9504 7845
9266 8416 8649
8237 9706 8220
8499 8308 9194
8272 9745 8107
9293 8219 8683
9405 8483 8487
8346 8210 9353
9304 9133 7854
9506 8291 8335
8678 9194 8539
9351 8902 8202
8394 9324 8644
7947 8946 9135
7854 8456 9434
8453 9540 8325
9219 9199 7992
9527 8479 8331
8577 9240 8584
8279 8891 9015
8655 8013 9217
9528 8426 8276
8511 8003 9304
9572 8390 8268
9407 8511 8444
8109 8578 9242
8103 8572 9310
7632 8706 9370
7594 8713 9371
8201 9586 8413
8613 9333 8375
8902 8042 9044
9410 8493 8461
8920 8334 8989
9422 8963 7977
8680 9594 7931
8886 8123 9063
9514 8747 8219
8819 8666 8875
9383 8804 8374
8675 9507 8252
9482 8688 8287
7830 8779 9267
9347 8870 8278
7819 8535 9399
8905 8486 8935
8857 9382 8215
9577 8626 8093
8326 9544 8499
9613 8488 8121
8989 9417 7803
7780 8574 9387
9208 9235 7870
8083 9121 8962
8924 9080 8469
8160 8196 9402
8574 9340 8448
7696 8921 9221
8916 8252 8995
9268 9083 8062
8859 9503 7961
8740 9368 8243
8679 8142 9212
9204 8897 8491
8956 8828 8698
8473 9315 8598
9111 8258 8838
8925 9426 8058
8113 8890 9089
9511 8790 8026
9129 9318 7980
9378 8977 7986
9168 8638 8677
8175 9593 8467
9341 8235 8567
8805 9137 8508
8607 9548 8212
8343 9622 8319
8696 8128 9165
8645 8246 9137
9097 8936 8547
8666 9164 8557
9156 9279 7871
9535 8752 8021
7922 8788 9239
9396 8869 8157
9501 8630 8250
8880 9473 7860
8419 9098 8833
8917 8135 9023
9202 8918 8355
7661 8818 9298
8561 9224 8605
8652 9607 8044
8558 8296 9149
8377 9646 8231
8243 8358 9339
8570 9644 7960
8397 9533 8401
9045 9298 8005
8996 8285 8978
7807 8914 9185
8057 8797 9163
8364 9109 8864
8372 9729 8075
9289 8273 8629
8501 8092 9291
8723 8831 8853
8660 9397 8351
9359 9045 7858
9372 8519 8441
8691 9312 8422
7763 8744 9326
8821 8179 9121
8053 8954 9033
9560 8382 8272
7839 8754 9306
8989 9071 8480
8495 8651 9000
7856 8862 9226
7937 8730 9270
9403 8883 8102
9061 9362 7888
8763 8554 8928
8147 8594 9230
9523 8595 8296
8199 9101 8946
9250 8817 8417
9495 8498 8392
9115 9214 8030
9055 8793 8639
8232 8203 9356
8753 8957 8670
8437 9424 8496
7921 9375 8736
8161 9216 8913
9568 8737 8115
8913 9431 7973
7959 9102 9011
8846 9139 8493
9467 8471 8412
8599 9046 8741
9153 8261 8819
8977 9434 7798
8554 8942 8871
8271 9743 8114
8426 9285 8694
9187 8566 8659
8307 9305 8754
8416 9655 8167
8892 8121 9060
8542 8206 9247
8602 8461 9040
9150 8489 8798
8457 8354 9168
9101 9123 8162
9198 9253 7831
9122 9190 8159
9217 8721 8591
8874 9480 7841
8285 8992 8994
8482 9203 8718
8992 9354 8039
8693 7996 9197
9544 8634 8163
8020 8507 9324
7882 9095 9053
9145 9054 8336
8922 8377 8948
9428 9002 7918
8244 9321 8732
8340 9579 8421
8267 9762 8040
8264 9487 8507
8464 9567 8311
7965 8460 9404
7791 8669 9341
8656 9556 8131
9191 8986 8289
7905 8414 9410
9572 8543 8242
8484 8861 8971
9589 8397 8149
8382 9403 8545
8945 8789 8758
8249 9750 8099
8839 9256 8376
9038 8435 8878
8445 9483 8416
9393 8685 8423
8100 8201 9416
8460 9304 8628
8248 9500 8551
9297 8371 8611
9335 9012 8011
7620 8753 9326
7920 8593 9333
9010 8421 8919
9331 8732 8425
7967 8802 9180
9475 8499 8376
8166 8323 9344
8188 8379 9303
9215 9148 7994
8948 9197 8390
7963 8970 9119
8730 9037 8639
9139 9159 8046
8348 9075 8873
8757 8611 8940
7915 8533 9361
8192 9578 8431
9272 9074 8088
9188 9238 7865
9505 8530 8304
8622 9512 8236
9375 9043 7824
8516 8441 9121
9476 8603 8314
7941 8923 9143
8964 9192 8285
8766 9570 7886
8903 8040 9050
7687 8876 9263
9622 8555 8105
8343 9459 8475
7677 8732 9342
8837 8720 8805
9166 9261 7879
8451 9446 8466
7747 8703 9350
7824 8971 9135
8990 8545 8792
8226 9714 8181
7725 8650 9380
9443 8249 8483
9153 8650 8662
8826 9536 7946
8134 8316 9384
9183 8362 8771
8903 9493 7840
7910 8820 9233
7790 8449 9440
7944 8629 9283
8524 9404 8474
8354 8301 9314
8566 9090 8763
8742 8079 9186
9184 8289 8715
8620 9413 8331
8707 9028 8766
8600 9631 7845
7702 8845 9279
9628 8338 8190
