595820 3060.15
15760 17382 17298
17056 16745 16834
17053 16282 17126
16383 17565 16384
16383 17565 16384
16103 16586 17839
16786 17531 16662
15974 16733 17692
16103 16586 17839
15760 17382 17298
16607 16366 17551
17047 16594 16870
16124 17337 17540
15974 16733 17692
17047 16594 16870
16103 16586 17839
16572 16651 17766
16278 17440 17016
16934 16906 16962
16902 17079 16673
17047 16594 16870
16684 17192 16795
16572 16651 17766
16684 17192 16795
16572 16651 17766
16334 16784 17638
16165 17148 17333
16278 17440 17016
16607 17254 17079
16197 16852 17678
16103 16586 17839
16466 17088 17306
17053 16282 17126
16383 17565 16384
16635 17148 16877
16890 16868 17213
16398 16949 17552
16332 17030 17498
16398 16949 17552
16707 16855 17494
16780 16790 17251
16587 17113 17189
16672 17106 17010
16533 16765 17540
16298 17076 17404
16213 17098 17279
16572 16651 17766
16635 17148 16877
16635 17148 16877
16567 17072 17324
16689 17005 16979
16934 16906 16962
17056 16745 16834
17053 16282 17126
16478 17422 17240
16786 17531 16662
16948 16801 16972
16839 16959 17185
16839 16959 17185
16334 16784 17638
16533 16765 17540
17053 16282 17126
16197 16852 17678
16103 16586 17839
16124 17337 17540
16513 17021 17471
16213 17098 17279
16567 17072 17324
16607 17254 17079
16635 17148 16877
16567 17072 17324
15974 16733 17692
16298 17076 17404
16243 17085 17328
16587 17113 17189
16689 17005 16979
16780 16790 17251
16243 17085 17328
16103 16586 17839
16839 16959 17185
16902 17079 16673
16466 17088 17306
16587 17113 17189
16466 17088 17306
16689 17005 16979
16567 17072 17324
16616 16925 17325
16545 16862 17404
16707 16855 17494
16587 17113 17189
16616 16925 17325
16780 16790 17251
16839 16959 17185
16513 17021 17471
16705 17084 16960
16298 17076 17404
16607 17254 17079
16298 17076 17404
16672 17106 17010
16616 16925 17325
16635 17148 16877
16804 16674 17431
16900 17012 16945
16683 17036 17240
16197 16852 17678
16705 17084 16960
16900 17012 16945
16332 17030 17498
16948 16801 16972
16243 17085 17328
15974 16733 17692
16545 16862 17404
16900 17012 16945
16786 17531 16662
16900 17012 16945
16513 17021 17471
16616 16925 17325
16197 16852 17678
17047 16594 16870
15974 16733 17692
16948 16801 16972
16545 16862 17404
16890 16868 17213
16786 17531 16662
17053 16282 17126
16165 17148 17333
16278 17440 17016
16684 17192 16795
16672 17106 17010
16839 16959 17185
16383 17565 16384
15760 17382 17298
16705 17084 16960
15974 16733 17692
16533 16765 17540
16616 16925 17325
16934 16906 16962
16689 17005 16979
16707 16855 17494
16545 16862 17404
15760 17382 17298
16780 16790 17251
16572 16651 17766
16197 16852 17678
16707 16855 17494
16398 16949 17552
16689 17005 16979
16900 17012 16945
16383 17565 16384
16707 16855 17494
16398 16949 17552
16672 17106 17010
16243 17085 17328
16165 17148 17333
16786 17531 16662
16103 16586 17839
16545 16862 17404
16616 16925 17325
16607 17254 17079
16332 17030 17498
16607 17254 17079
16616 16925 17325
16786 17531 16662
16786 17531 16662
15974 16733 17692
17053 16282 17126
16684 17192 16795
16165 17148 17333
16684 17192 16795
16278 17440 17016
16278 17440 17016
16683 17036 17240
16572 16651 17766
16707 16855 17494
16278 17440 17016
16478 17422 17240
17053 16282 17126
16902 17079 16673
16103 16586 17839
16383 17565 16384
16334 16784 17638
16334 16784 17638
16572 16651 17766
16607 16366 17551
16243 17085 17328
16545 16862 17404
16780 16790 17251
16616 16925 17325
16689 17005 16979
16545 16862 17404
16786 17531 16662
16587 17113 17189
16165 17148 17333
16103 16586 17839
16298 17076 17404
16672 17106 17010
16383 17565 16384
16213 17098 17279
16689 17005 16979
16124 17337 17540
16197 16852 17678
15760 17382 17298
16616 16925 17325
16689 17005 16979
16545 16862 17404
16707 16855 17494
16466 17088 17306
16780 16790 17251
16513 17021 17471
16705 17084 16960
16607 17254 17079
16607 16366 17551
16635 17148 16877
16902 17079 16673
16683 17036 17240
16705 17084 16960
16900 17012 16945
16332 17030 17498
16948 16801 16972
17053 16282 17126
16165 17148 17333
16684 17192 16795
16567 17072 17324
16635 17148 16877
16683 17036 17240
16213 17098 17279
16278 17440 17016
16478 17422 17240
16635 17148 16877
16298 17076 17404
16103 16586 17839
16533 16765 17540
16334 16784 17638
16334 16784 17638
16572 16651 17766
16607 16366 17551
16786 17531 16662
16197 16852 17678
16839 16959 17185
16398 16949 17552
16900 17012 16945
16383 17565 16384
16707 16855 17494
16398 16949 17552
16948 16801 16972
16243 17085 17328
16165 17148 17333
16786 17531 16662
17053 16282 17126
16616 16925 17325
17056 16745 16834
16786 17531 16662
