2607 541.251
17382 17705 17793
17149 17657 17924
17191 17720 17849
17506 17468 17767
17595 17634 17603
17530 17690 17594
17344 17739 17763
17536 17548 17689
17617 17579 17597
17058 17597 17971
17220 17395 17933
17212 17560 17891
17206 17816 17725
17326 17644 17827
17100 17507 17959
17325 17470 17859
17535 17444 17743
17167 17900 17582
17112 17736 17870
17143 17878 17664
17264 17635 17852
17084 17693 17924
17422 17486 17797
17390 17460 17819
17116 17779 17798
17031 17518 18005
17419 17617 17694
17124 17825 17757
17213 17835 17641
17636 17486 17564
17444 17544 17715
17177 17784 17762
17254 17814 17620
17510 17589 17654
17114 17873 17711
17283 17506 17864
17353 17601 17815
17378 17746 17643
17090 17864 17738
17492 17628 17636
17314 17764 17688
17306 17784 17603
17358 17751 17686
17547 17529 17656
17021 17846 17820
17444 17405 17794
17218 17628 17862
17269 17760 17725
17571 17455 17636
17071 17343 18014
17482 17661 17612
17402 17665 17656
17554 17375 17686
17580 17488 17619
17190 17868 17581
17430 17739 17548
17226 17805 17667
17138 17489 17933
17078 17749 17835
17231 17458 17878
17011 17510 18081
17079 17915 17534
17665 17320 17544
17061 17625 17545
17036 17650 17416
17138 17690 17529
16961 17500 17400
17180 17669 17399
17129 17500 17355
17086 17508 17454
16948 17382 17490
17066 17470 17392
17406 17551 17645
16845 17284 17456
17211 17564 17543
17127 17449 17536
16970 17658 17444
17215 17479 17428
17158 17464 17502
17030 17763 17582
17084 17539 17527
16851 17338 17408
17095 17459 17395
17018 17626 17817
17034 17420 17587
17037 17610 17532
17161 17663 17497
17029 17475 17376
17018 17372 17465
17122 17389 17532
16999 17438 17631
17064 17555 17447
16887 17373 17575
16856 17497 17202
17111 17392 17661
17174 17514 17601
17062 17520 17567
17161 17531 17640
17081 17557 17486
16910 17452 17316
16990 17516 17496
17038 17478 17498
17208 17801 17622
17130 17280 17455
16877 17204 17565
17104 17667 17634
17055 17472 17739
17095 17552 17348
17060 17549 17490
17025 17540 17473
17035 17353 17567
17187 17465 17548
17148 17612 17589
17161 17537 17474
17203 17432 17500
17113 17580 17437
16940 17423 17321
17169 17649 17436
17148 17653 17446
17189 17572 17514
16956 17547 17676
17206 17429 17495
17167 17736 17577
17039 17397 17327
17122 17587 17582
16847 17377 17520
17008 17465 17643
17167 17520 17547
17109 17385 17470
16991 17696 17578
17118 17653 17613
17052 17529 17763
17150 17471 17531
16840 17549 17461
16957 17366 17448
16903 17503 17474
17111 17600 17504
17073 17512 17535
16950 17484 17406
17157 17593 17673
17003 17451 17341
16758 17241 17486
17084 17421 17553
17165 17531 17527
16984 17345 17504
17160 17437 17486
17156 17427 17533
17317 17395 17727
17021 17499 17755
17085 17563 17512
17087 17612 17587
16987 17515 17639
17099 17520 17477
17078 17344 17573
17195 17594 17534
17125 17525 17584
17139 17505 17504
17221 17331 17494
17127 17618 17456
17236 17657 17551
17053 17610 17616
17077 17337 17345
17038 17415 17780
17113 17475 17672
17022 17454 17377
17056 17452 17463
17140 17633 17499
17002 17365 17375
17065 17474 17629
17091 17553 17658
16954 17431 17625
17096 17558 17368
17154 17384 17546
17081 17432 17695
17290 17498 17264
17046 17538 17572
17120 17663 17541
17083 17613 17679
17216 17469 17783
17189 17490 17435
17088 17737 17530
16946 17436 17367
17298 17389 17592
17200 17659 17571
17058 17591 17606
16930 17660 17559
17080 17556 17432
17151 17390 17505
17037 17514 17565
17272 17579 17673
17252 17697 17556
17113 17505 17588
17003 17529 17663
17104 17460 17327
17239 17558 17589
17009 17509 17463
17179 17566 17451
17185 17631 17539
17175 17488 17762
16996 17481 17628
17233 17553 17659
16894 17452 17608
17249 17608 17577
17097 17687 17431
17259 17312 17611
17078 17554 17237
17258 17447 17596
16915 17604 17492
17070 17494 17699
17002 17477 17376
17078 17350 17415
16960 17216 17529
17260 17556 17465
17048 17677 17301
17023 17359 17506
16833 17329 17575
17261 17752 17647
17126 17529 17588
17052 17489 17555
17019 17529 17626
17146 17562 17596
17096 17486 17542
17046 17506 17479
17073 17560 17328
17008 17535 17550
17058 17645 17626
17226 17602 17588
17145 17613 17674
17203 17587 17654
17070 17508 17577
17156 17362 17666
17106 17511 17748
17136 17610 17465
17201 17483 17485
17136 17527 17464
17021 17345 17419
16991 17428 17487
17042 17555 17539
17086 17457 17358
17118 17579 17580
16994 17405 17796
17091 17558 17432
17169 17422 17535
17032 17430 17448
17060 17570 17464
17065 17415 17622
16960 17348 17467
17090 17579 17505
17205 17688 17692
17198 17437 17431
17047 17377 17418
17054 17472 17409
17069 17505 17445
17131 17631 17417
17130 17496 17467
17020 17626 17596
17124 17570 17648
17035 17488 17502
17109 17671 17390
17089 17451 17470
17118 17505 17405
17051 17576 17620
17144 17472 17421
17094 17413 17631
17105 17616 17750
17137 17664 17403
16957 17602 17609
16953 17380 17314
17135 17531 17333
17255 17512 17771
16973 17507 17392
17115 17667 17370
17120 17704 17656
17143 17480 17362
17092 17534 17634
17110 17648 17394
17287 17515 17470
17219 17598 17666
17031 17482 17343
17037 17491 17593
16964 17431 17611
17034 17514 17548
17246 17458 17409
17080 17542 17436
17060 17626 17578
17251 17420 17577
17085 17509 17381
16937 17575 17819
17139 17518 17689
17291 17654 17564
17048 17522 17574
17012 17520 17773
17047 17465 17415
17401 17382 17502
17206 17563 17645
17179 17406 17492
17124 17387 17452
16974 17447 17360
17171 17430 17659
17135 17554 17424
16791 17288 17210
17126 17481 17452
17139 17466 17427
16945 17408 17222
17015 17640 17399
17237 17384 17581
17070 17515 17392
17053 17620 17528
17262 17492 17466
17042 17451 17532
17165 17507 17598
17125 17478 17464
16977 17451 17385
