3247 3573.64
15961 18954 17890
17759 16331 19067
16932 16920 19511
16794 19189 17089
17846 18702 16188
18869 17398 16831
17700 16440 19144
17758 18725 16284
16032 18962 17852
18300 18319 16233
16083 18794 18224
15996 18951 17918
15961 18954 17890
18292 18252 16616
18300 18319 16233
16001 18920 17947
17948 16500 18828
17935 16479 18902
16024 18811 18145
18587 17193 17618
17962 18629 16199
16168 18945 17940
17598 16521 19239
18425 18147 16376
18433 17134 17902
18325 18284 16507
16300 18877 17952
18796 17503 16899
17943 16602 18876
18016 18622 16321
16154 18603 18357
16323 18661 18308
18778 17613 16761
18694 17682 16792
18818 17083 17346
16652 19092 17388
18347 17770 17150
16594 18911 17797
18182 18421 16595
18440 18141 16398
16126 18949 17921
18616 17798 16847
17536 16657 19223
18210 18383 16390
17972 16549 18803
17966 16574 18792
16133 18703 18283
18692 17626 16957
17102 17636 18662
17126 18935 17291
16335 17768 19106
17689 16802 18993
18122 18375 16601
16192 18498 18441
18079 17182 18274
17740 16591 19069
17149 16940 19360
16095 18832 18139
18719 17304 17330
17533 16690 19247
17562 16685 19169
18190 17898 17139
17680 18259 17434
17067 17556 18920
17525 18612 16856
17839 16773 18948
16293 18780 18067
17376 16911 19257
18733 17428 17223
16831 19103 17249
16105 18723 18302
18510 17748 17187
17804 16559 19019
18393 18210 16407
17816 18686 16580
18200 18188 16909
17159 18971 16924
18270 18209 16713
16688 18000 18727
18405 18151 16567
17428 16637 19300
17364 16862 19283
18129 18566 16361
16213 18867 17969
18784 17389 17250
17122 16841 19425
17059 16724 19492
17548 16561 19267
16380 18964 17786
17934 18445 16861
18768 17496 16985
18057 16820 18562
18382 18077 16735
17496 18100 17762
17044 16827 19486
18493 17862 17017
17863 17845 17779
18475 18002 16725
18724 17584 16970
17921 17209 18493
18467 18063 16654
18243 17297 17989
16772 19147 17108
17853 18528 16764
16314 17965 18987
18471 17382 17588
18487 17705 17190
17735 16617 19093
16478 18827 17973
16837 19088 17207
18584 17818 16871
18672 17340 17308
18136 17922 17463
17469 16783 19199
16919 19017 17119
18218 16767 18404
16434 18514 18423
17792 17121 18770
17307 18379 17634
16974 17805 18814
16572 18123 18642
17836 18713 16472
17924 17303 18315
17254 18783 17065
16530 18609 18185
16926 19135 17044
18831 17482 16879
17187 18872 17000
17385 16641 19335
18318 18202 16754
17470 18842 16782
17618 16585 19196
17145 17349 19003
17362 16798 19293
17993 18058 17430
17357 17055 19027
17094 17913 18324
17567 17506 18479
16539 17422 19214
16159 18866 18028
17911 17079 18507
16584 18395 18421
17602 18818 16482
17829 18174 17436
17403 17444 18735
16942 17845 18759
16615 18761 17977
18014 18362 16746
16820 19172 17095
18480 17786 17036
18543 17292 17531
17099 17207 19163
18337 18255 16337
17331 18804 16838
16329 18344 18539
16355 18708 18256
18456 18038 16684
17015 16997 19373
18745 17591 16933
16746 18087 18626
18824 17268 17271
16828 17974 18790
17291 17036 19160
16866 18902 17441
16763 18314 18475
16681 18988 17561
17118 18588 17389
16923 19164 17023
18265 18327 16377
17659 16630 19151
16271 17984 18841
16188 18898 17990
17326 17449 18786
16605 18833 17823
18037 17196 18252
17980 16747 18774
18031 18107 17214
17773 16734 19010
18109 17930 17270
17296 17028 19120
17448 17497 18542
17407 18489 17375
17620 18052 17910
17010 16929 19389
18172 18432 16548
16800 17100 19382
18483 17657 17325
17135 18161 18245
16907 17378 19137
17129 16752 19455
18131 18477 16469
16359 18571 18429
18869 17398 16831
17265 18497 17484
17593 16736 19105
18705 17329 17418
18040 17022 18532
16588 18391 18454
16889 19182 17013
17166 16904 19299
16820 17164 19349
17182 18749 17155
17061 17580 18846
18062 18398 16717
17764 17285 18538
16850 19158 17047
18749 17473 17069
18400 18095 16627
17554 17620 18408
18311 18270 16554
17038 16883 19464
18684 17491 17303
16742 18774 17790
16508 19141 17295
16723 17545 18989
16241 18621 18355
18281 17704 17524
17886 16458 18924
17888 17230 18374
18452 18007 16800
17321 17043 19045
18653 17761 16693
16786 18606 17906
18006 18605 16357
17387 17452 18707
17703 17891 17756
18328 17533 17539
17310 17991 18119
16948 18034 18610
17654 17749 18205
16110 18796 18202
17355 16652 19345
17019 17756 18699
17030 19054 17054
18417 17934 16914
16171 18852 18102
18207 17144 18195
18500 17211 17743
17819 17717 18041
18766 17436 17100
16553 17742 18961
18810 17344 17127
17480 17403 18693
16182 18764 18230
17417 16814 19274
17288 18654 17356
17303 18696 17135
18808 17490 16886
16563 18240 18603
16174 18742 18238
18852 17307 17049
17336 17601 18613
17914 16661 18853
16200 18810 18177
17565 18754 16611
17135 18452 17893
16414 17656 19065
18644 17616 17117
17755 17550 18158
17361 17323 18802
16647 17653 18957
18341 17870 17116
16966 18989 17281
16535 18563 18330
17432 17689 18473
17978 18584 16435
17577 18301 17719
16628 18250 18547
18303 17613 17594
17170 16875 19400
18799 17408 16968
16236 18675 18290
17114 16809 19445
18504 17632 17283
17857 16706 18981
17876 18647 16578
17958 18700 16414
16464 18779 17986
18194 18316 16663
17077 18976 16981
18760 17255 17345
17343 18044 18042
16865 19134 17158
17516 18617 16940
17808 16700 19014
16654 18402 18297
17672 16712 19098
17950 16786 18717
16388 18273 18558
17626 16442 19189
16542 18483 18379
17233 17337 18942
17183 17571 18755
18701 17258 17521
18547 16800 17935
16706 17867 18820
16246 18746 18211
17880 16513 18977
18532 16909 17933
18640 17697 16795
18575 17624 17107
17482 17634 18464
18520 17576 17275
17249 17856 18417
17140 18191 18111
16311 19012 17808
17340 18525 17407
17452 18862 16455
17499 18032 18006
18087 17513 17996
16934 19031 17095
18022 18360 16773
17003 16719 19499
16755 18351 18364
18841 17280 17152
17929 16533 18904
17902 16503 18918
17662 18237 17458
18804 17485 16921
16622 18921 17703
17717 16568 19123
18385 18230 16496
17783 16857 18933
18676 17521 17097
18598 17680 17090
18048 18488 16627
17225 16740 19413
16756 17540 19176
17866 16847 18860
18116 17953 17137
18081 17139 18450
16289 18897 17957
16090 18953 17888
18173 17115 18257
18364 17766 17176
18250 17740 17604
18852 17307 17049
18444 18016 16835
18634 17744 16700
17648 16471 19182
16221 18717 18212
17258 16670 19403
17694 17847 17803
17744 16538 19061
16274 18794 18094
17961 18658 16293
16848 16969 19477
18556 17449 17351
18053 18582 16307
17077 18221 18073
17644 16664 19131
18388 17371 17835
17470 17474 18673
18357 17957 16952
16845 18419 18091
17696 18708 16541
18460 17716 17255
16980 18668 17850
17788 16757 18969
18256 17606 17733
18703 17073 17559
18036 17648 17872
18255 18347 16383
16733 18454 18178
17401 17529 18702
18000 17153 18284
17300 18927 16839
16898 19008 17263
17389 17361 18778
17495 17575 18469
17353 16741 19339
16950 18311 18217
16861 17416 19068
17018 18974 17203
18195 17217 18175
16867 18917 17395
16202 18884 17966
18378 16982 17982
17378 17779 18296
17705 18368 17197
16117 18829 18109
18413 17928 17058
17967 18149 17228
17581 16875 19040
17569 18023 17984
16514 18914 17782
16524 19001 17673
16418 18423 18479
18192 17107 18367
18274 18345 16353
16797 17001 19448
16774 17419 19049
18042 17478 18009
16792 18129 18531
18660 17645 16955
17799 16682 19033
18090 18436 16674
18629 17271 17503
17959 17093 18498
16517 17948 18872
18021 16976 18581
17597 16642 19180
18179 16830 18506
18251 17251 17915
17929 16806 18762
18351 17667 17402
18425 16877 18122
17553 17838 18162
18103 18504 16504
16115 18881 18011
16611 19022 17550
17083 17902 18514
17199 18770 17078
18566 17779 17007
16178 18849 18074
18386 18200 16487
16453 18932 17729
16305 18632 18345
18053 18582 16307
17600 17030 18892
18204 18448 16332
17460 18759 16823
16251 18858 18040
18074 16739 18596
18312 17894 17180
17631 16888 19023
17641 16998 18969
17626 18811 16342
17353 16698 19380
18161 17239 18134
17782 18633 16688
17602 16694 19157
16638 17722 18979
16565 17875 18901
17441 16944 19231
16870 18593 17883
18319 18133 16780
17727 17573 18239
17572 16681 19209
17267 18427 17712
16988 18339 18153
16226 18646 18321
16690 18532 18203
18737 17564 16991
16372 17775 19089
18100 18523 16429
18111 17597 17818
17415 17987 18240
17962 18629 16199
16143 18692 18287
17241 17905 18284
16747 19126 17321
17316 17069 19090
17209 18732 17293
18663 17676 16833
18146 18474 16421
18259 18418 16354
16997 16842 19509
17301 18215 18033
17515 16649 19267
17153 17244 19080
17932 17851 17638
18093 18540 16453
18338 17994 17011
16629 18956 17613
18441 18109 16612
17223 17088 19193
17028 18798 17350
16509 18789 17956
17372 17536 18689
17206 17999 18263
18419 17162 17757
16915 18814 17498
18653 17761 16693
16365 17956 18952
17174 18337 17882
16696 19164 17239
18001 16547 18744
18359 18115 16875
18720 17461 17279
18231 18290 16779
16625 18459 18392
17423 18409 17450
17812 17486 18384
17108 16844 19450
17907 17530 18229
17504 18597 16988
17350 18882 16802
18610 17458 17336
17698 16585 19102
18095 16617 18577
17904 18577 16560
18476 17434 17493
17613 18517 17125
17514 18518 17183
17988 17181 18461
18570 17344 17424
16746 18551 18087
18694 17179 17543
17749 16887 18896
16951 18455 18021
18154 18372 16650
18266 17864 17286
17833 17617 18079
16812 18979 17477
16782 18117 18570
16963 18702 17602
17792 18281 17370
16847 18041 18554
17307 17397 18882
17724 17795 17884
17607 18395 17234
17629 17239 18742
17006 18217 18167
18621 17669 16892
18408 17497 17659
18611 17394 17337
16974 18031 18588
16032 18962 17852
17670 18010 17842
17000 16974 19406
18708 17673 16661
18059 17186 18190
17831 17171 18660
17971 17262 18294
17898 18181 17166
17455 18557 17218
16608 18995 17637
18599 17111 17713
18026 16679 18678
18624 17335 17511
18610 17817 16741
16228 18813 18121
16424 18439 18436
17184 18026 18232
17273 18736 17068
17543 16771 19150
17090 17235 19124
17419 18264 17802
16991 19080 16890
16996 16904 19417
17508 16994 19055
17985 17808 17650
18605 17752 17005
17458 18198 17927
18101 18473 16533
17584 18836 16525
16996 17012 19368
17248 16871 19360
16670 17713 18905
17753 16460 19095
18541 17174 17642
16721 19161 17237
18372 16881 18019
17650 16666 19127
18560 17694 17072
17236 18485 17643
16621 18014 18710
17870 18677 16566
17234 18246 18047
18181 17785 17567
17424 17978 18127
18234 18265 16555
17278 18037 18145
17674 16672 19072
17163 17866 18457
18063 18479 16521
17273 17438 18799
17575 16960 19034
16853 18981 17445
