13 0.520478
14944 16015 14874
14765 15344 16217
15541 15249 15387
15304 15717 15848
15490 15269 15386
15442 15424 15600
15741 15592 14947
15283 15931 16014
15604 15430 15358
14687 15497 16051
15528 15458 15211
14638 15893 16089
14869 16074 15178
14267 16114 14915
14714 15309 16081
14568 14932 16091
15300 14948 15611
15376 15546 14873
15449 15540 14507
15427 15466 14893
15032 15301 16009
14935 15568 15584
15280 15450 15802
15247 15314 15823
14846 15473 15689
15010 15413 15975
15257 15594 15342
15052 15623 15573
14972 15767 15230
15131 15277 15832
14995 15707 15467
15208 15504 15355
14901 15910 15451
14728 15599 15686
15194 15245 15967
14989 15562 15678
15001 15731 15252
15086 15759 15107
14700 15467 15847
15109 15602 15111
15032 15301 16009
14734 15749 15472
15591 14840 14933
15344 15220 15321
15522 15081 15327
15524 14833 14949
15493 15398 15010
15367 15084 15095
15284 15380 15083
14424 15800 15694
14147 15607 15946
14073 15814 15789
14424 15800 15694
14730 15980 14975
14235 16111 14417
14691 15134 16074
14265 15233 16035
15321 15523 14840
15321 15523 14840
15231 15416 15375
15256 15125 15676
15099 15354 15799
15099 15354 15799
15081 15371 15502
15243 15193 15444
15201 15268 15719
14951 15407 15877
14823 15408 15905
14727 15352 15925
15006 15315 15850
15233 15308 15122
15100 15551 15333
15076 15563 15233
15050 15603 15288
15008 15565 15565
14769 15593 15483
14769 15593 15483
15033 15445 15492
15110 15277 15711
14958 15649 15400
15135 15497 14998
14874 15888 15104
14777 15816 15108
14866 15763 15314
14743 15891 15368
14449 15910 15162
15067 15123 15848
14835 15543 15604
14880 15420 15642
14952 15720 15184
14426 15425 15635
14948 15153 15925
14968 15074 15913
14850 15301 15906
14613 15731 15417
14704 15660 15404
15440 14866 15279
15317 15062 15263
15317 15062 15263
15354 15072 15209
15440 14866 15279
15389 14890 15317
15441 15248 14890
15341 15254 14825
15300 15190 14967
15444 14670 14886
15333 15222 14964
15441 15248 14890
14397 15926 14747
14186 15919 14833
14397 15926 14747
14601 15083 16004
14361 14780 16044
14621 14891 16041
14512 15094 15972
14601 15083 16004
14099 15114 15946
15263 15413 14736
15220 15341 15310
15130 15343 15205
15178 15351 15091
15044 15328 15498
15065 15331 15381
15214 14992 15372
15192 14320 15498
15173 15053 15448
15133 14847 15582
15162 15184 15460
15194 15045 15352
14889 15375 15580
14881 15397 15611
14891 15365 15762
14902 15338 15867
13730 15381 15816
14500 15385 15763
14350 15359 15826
14754 15396 15755
14477 15189 15921
14927 15304 15568
14674 15548 15494
14973 15342 15556
14863 15462 15554
14879 15565 15462
14961 15534 15270
14936 15443 15443
14889 15438 15492
14989 15359 15294
15001 15435 15204
15015 15433 15087
15108 14852 15619
14995 15143 15638
14995 15143 15638
15068 14969 15674
14932 15180 15577
15031 15450 14933
14872 15850 14896
14801 15832 15014
14860 15731 15116
14760 15641 15267
14314 15832 15297
14614 15790 15267
14314 15832 15297
14443 15844 14955
14070 15870 15061
15059 14922 15699
14999 15007 15530
14985 14967 15732
15016 14940 15811
14535 15422 15580
14662 15540 15531
14514 15539 15579
14911 15697 14942
14705 15647 15162
14915 15600 15148
14829 15712 15119
14915 15600 15148
14911 15697 14942
14921 15686 14662
14891 15692 15000
14915 15600 15148
14903 14959 15862
14959 15069 15768
14927 14995 15847
14731 14855 15875
14000 15572 15327
15251 15005 15141
15246 15025 15200
15261 15051 15090
15436 14354 14976
15263 14735 15174
15306 14538 15205
15419 14755 14665
15335 14919 14757
14083 15919 14615
14386 14950 15941
14519 14809 15986
15246 15262 14540
15263 15066 14639
15217 15340 15264
15082 15342 15202
14976 15291 15493
14976 15291 15493
15011 15198 15273
15197 14802 15336
15053 15163 15440
15040 15007 15449
15142 15138 15391
15149 14768 15373
14620 15279 15790
14395 15307 15787
14857 15148 15787
14578 15239 15815
14821 15108 15845
14383 15309 15847
14800 15166 15612
14700 15179 15629
14710 15252 15611
14700 15179 15629
14610 15389 15614
14272 15138 15858
14021 15139 15848
14272 15138 15858
14964 15316 15333
14717 15536 15270
14838 15498 15442
14903 15427 15390
14712 15384 15471
14970 15372 15054
15088 14559 15489
15096 14817 15423
15072 14781 15513
14990 15038 15579
14930 15074 15629
15023 15404 14619
14768 15759 14464
14764 15815 14990
14672 15591 15248
14599 15781 15233
14136 15670 15295
14997 14832 15683
14516 15398 15556
14522 15408 15539
14661 15500 15356
14248 15421 15536
14248 15421 15536
14354 15414 15446
14354 15414 15446
14354 15414 15446
14188 15535 15287
14458 15410 15486
14734 15670 15088
14607 15679 15077
14604 15666 15106
14813 15712 14809
14916 15396 14645
14840 15588 14327
14842 15536 14390
14840 15537 15047
14808 15592 15131
14911 15442 14538
14948 14987 15752
14919 14892 15770
15258 14849 14934
15258 14849 14934
15226 14867 14792
15233 14704 15119
15221 14524 15178
15293 14753 14714
13776 15914 14614
15227 14802 14869
14922 14292 15590
14985 15370 14162
13767 15801 14625
13791 14695 15900
14663 15761 14440
15109 14629 15285
13999 15682 15109
15207 14357 15105
14243 15493 15315
14603 15687 14766
14873 14477 15460
14998 14515 15432
13925 15482 15398
13879 15394 15536
14346 15381 15598
14125 15304 15609
14492 15739 15046
14082 15650 15253
14719 15065 15718
14203 15410 15460
15179 14677 15214
14620 15695 14519
14765 15663 14572
14735 15013 15638
14494 15122 15744
14658 14957 15816
14778 15587 14491
14434 15485 15356
14966 15353 14714
14831 14869 15514
