161103 3240.63
12852 15539 15439
14996 17886 15124
15545 15805 13013
15988 15538 19712
16019 15321 18591
16703 18122 14788
16473 16674 14658
15207 18331 17752
14415 16985 15406
16893 16760 14489
14645 17557 18354
15160 16132 17932
14579 16411 18929
16046 18903 16477
15396 13906 16767
16424 14906 18959
15628 17985 15333
16973 15116 15996
15566 18846 15890
16549 14803 17764
15809 17188 17535
16121 14870 13690
13350 15995 15578
15329 16767 18930
15948 15767 19242
15920 17436 17282
17351 16157 15091
16220 17147 16245
16879 14473 17103
17500 17914 16009
16327 17404 17024
16488 14218 17055
15901 17407 15512
18142 16483 16278
14853 17496 17471
17288 15215 14999
14520 16933 17675
16301 16965 17879
16934 15624 18235
16689 17039 16933
14616 17535 17906
17525 16726 15114
15998 19020 15894
17908 17004 16047
15246 15708 19032
15445 15030 18118
16210 15732 18757
14572 14952 18456
15466 15882 18153
15482 14298 17825
17206 15895 14597
15244 17129 16896
16150 14389 18041
16274 15194 18697
16789 18019 14487
18610 16400 16253
15156 16673 16306
15798 16420 14345
13489 16383 17907
17484 15806 17656
16839 15158 15465
14751 15350 18131
15782 15458 14047
15516 17221 15018
14450 17458 16501
15602 18851 16659
15928 16876 17630
14596 17776 17227
15920 15526 19311
15680 16300 19326
13084 15371 15740
17359 18675 15479
17212 17436 15170
13978 14686 16373
17414 16841 14884
14682 13842 15479
14545 16894 15257
16568 16892 15435
18056 16161 15001
17601 15812 17755
15550 14323 16828
16446 19063 16082
16305 15766 18867
17691 16100 16328
14071 16609 16645
16562 16386 14795
16634 16278 17636
16224 15777 18451
17655 14989 17987
15073 14603 17935
16178 16008 18310
18073 15288 15822
15560 17679 17147
16544 17075 17934
14710 16950 16672
14928 13565 15283
15600 16524 19042
15552 15892 19258
14619 14443 13973
18388 15995 15840
16920 15393 18354
18036 15931 17846
15455 17924 14302
15128 16894 18478
18355 16470 15721
13017 15506 15421
14311 15171 16247
15246 15677 14618
15791 15587 19702
16555 14895 17536
16770 16569 17075
17301 18200 14664
13679 14087 16323
13399 15869 17636
13342 14281 15741
16388 15880 14573
14316 14943 13426
17540 15926 15158
14197 16518 14848
16801 15042 15261
16318 15198 17764
15772 14885 18219
14081 15806 17617
16270 16011 16718
16950 18247 15754
16950 15133 17658
17351 16626 17317
13689 14625 15868
17171 15941 16967
13732 12679 14590
15632 17297 16114
17523 17088 14432
14512 14137 16758
16804 15329 18116
16744 15219 14245
12761 14899 14098
15263 16183 16906
18031 15988 16754
16174 15039 16890
14994 14799 18786
14050 16690 18372
15036 16902 17924
17949 15901 16748
15375 17477 14182
16778 15076 15891
14745 16985 18566
17698 15773 16942
16581 15475 18654
16935 16209 15611
17704 17335 15241
17610 15978 15661
15940 16648 18227
16112 16083 13788
14950 16653 14049
15725 13502 16380
16174 14963 18787
14858 18015 16957
17688 18073 15296
16336 17775 14350
15133 15083 15690
15954 17759 14945
15350 16268 13904
12812 13538 15083
16826 15053 18290
14493 14602 13779
14480 13515 15477
14626 14166 18490
14730 15710 14597
14397 14856 17102
13259 15707 16698
16096 15335 17621
14421 16095 18140
15292 15563 18094
16147 15010 18508
14176 16795 14339
15395 15881 19177
16269 18398 15913
14487 16491 15766
15857 17110 15625
15207 18619 17565
17029 15478 18426
15594 14231 15143
14850 16382 15506
16789 17976 15121
12914 15475 15946
17622 17443 15208
17196 16603 17725
14829 14597 17061
17491 15361 16087
15334 15158 13679
17093 14779 16784
15352 17242 15429
15873 16461 14766
15851 17652 17261
13181 16490 16315
14042 16634 18267
15071 16711 18415
14810 14072 16754
16452 14692 14152
13655 13707 17315
16032 18480 16353
16238 16467 15214
14912 15813 18865
15484 17370 18221
12729 15814 15018
14683 15337 16387
15333 17277 18055
16785 15007 16425
14562 15491 16196
15359 18538 16930
16515 16829 17509
15493 17482 17587
13649 16198 16213
15133 14749 17828
16451 17880 15339
16706 15473 17934
15749 14852 18691
15741 17320 15130
16019 15714 19334
16027 15722 18919
15036 16948 17320
15454 15524 19484
15819 17007 16736
14907 17658 14911
14527 17732 16440
15376 14304 15432
14574 17788 16405
18101 16320 15560
15533 17625 17482
15226 14126 15746
15420 18323 16161
17040 15485 18520
15010 16779 16734
14737 14306 15561
16652 16533 15646
15791 18424 17142
16328 14560 16069
16102 17527 16003
14087 17091 17255
16043 17774 15116
15367 17842 16678
15972 15812 18156
17585 16470 18180
16000 18274 15473
15801 15292 13771
18727 16870 15952
16952 16153 15192
17789 17323 15606
14639 14439 18637
13923 13792 12291
14249 16551 18172
17394 17249 14581
