842 180.533
27291 26289 26220
27318 26229 26277
27153 26221 26456
27417 25918 26304
27356 26014 26382
27205 26113 26444
27118 26180 26487
27299 26088 26391
27401 25967 26211
27370 26097 26210
27105 26343 26207
27162 26276 26351
27340 26075 26311
27254 26135 26393
27220 26192 26368
27465 25891 26105
27272 26214 26313
27092 26336 26248
27059 26142 26526
27358 26145 26216
27233 26269 26270
27085 26147 26505
27341 26160 26217
27234 25972 26422
27068 26239 26453
27172 26312 26070
27293 26194 26296
27221 26232 26314
27096 26122 26497
27283 26252 26242
27261 25966 26399
27174 26256 26326
27044 26260 26396
27144 26232 26370
27178 26216 26358
27161 26197 26401
27067 26314 26257
27164 26277 26312
27358 25998 26298
27192 26128 26416
27186 26160 26385
27360 26145 26131
27221 26119 26398
27376 26000 26086
27170 26290 26195
27366 25959 26232
27233 26008 26402
27321 26028 26371
27267 26097 26352
27247 26270 26234
27269 26035 26393
27374 25976 26185
27325 26029 26353
27028 26175 26532
27311 26084 26296
27207 26029 26418
27292 26236 26226
27027 26353 26066
27482 25856 26035
27057 26020 26549
27057 26020 26549
27310 26174 26270
27339 26086 26168
26997 25908 25991
27052 25521 25490
27135 25917 26026
26959 25822 25976
27154 25722 26010
26821 25822 25874
26847 25598 25958
26823 25817 25976
26906 25974 26043
26923 25624 25763
27073 25969 25863
26984 25861 25981
26753 25738 26051
26990 25805 25868
26879 25672 25834
27013 25853 25963
26847 25669 25784
26983 25858 25910
27080 25925 25920
26974 25883 25993
26929 25870 26257
27151 25958 26138
26999 26050 25870
26843 25491 25790
27102 26186 26096
26903 25749 26128
26918 25787 26022
26773 25600 25762
26942 25679 26022
26787 25740 25730
26967 25744 25834
26917 25739 26051
26939 25935 26005
27013 25523 25858
26847 25530 25861
26923 25899 25925
27005 25797 25993
27109 25798 25830
27007 25471 25666
27104 25729 25856
26689 25441 25705
26899 25893 25981
26719 25799 25900
26940 25810 25752
27029 25566 25970
27036 25581 25798
26883 25751 25849
26989 25765 25842
26924 25928 25998
26994 25844 25934
26910 25574 25668
26896 25668 25918
27107 25736 25894
26902 25947 25838
27021 25747 25892
26949 25835 26071
26823 25661 25870
26941 25741 25817
26927 25858 26082
26984 25713 25696
26922 25754 26021
27138 25950 26072
26840 25719 25755
27102 25633 25898
26756 25800 26019
27053 25868 26027
26948 25837 25997
27067 26087 25923
26928 25795 26031
27079 25862 25860
27079 25862 25810
26780 25677 25651
27028 25685 25776
26837 25649 25879
27017 25798 26062
27026 25719 25782
27130 25918 26001
26676 25456 25680
26969 25767 25861
26996 25956 25934
26897 25560 25817
26936 25644 25995
26881 25794 26006
26814 25609 25636
27244 25966 26012
26765 25463 25830
26789 25735 25838
26689 25697 25817
26951 25732 26014
27118 25750 25980
26977 25694 26231
26827 25744 25950
27009 25852 26118
26807 25779 25785
26861 25705 25881
26812 25737 25941
26887 26010 25817
27091 25880 25913
26845 25825 25835
27081 25788 26239
26764 25796 25858
27020 25686 25729
26866 26033 26079
26956 25675 26140
26973 25715 25996
26977 25710 25859
26751 25746 25932
26906 25911 25749
26624 25594 25865
26837 25694 25956
27034 25861 26131
26859 25766 25903
26986 26042 25847
27005 26029 26179
26770 25578 25747
26942 25698 25910
26863 25876 26057
26817 25783 25879
27051 25928 26032
26916 25891 26025
26963 25851 25871
26907 25689 25759
26752 25639 25886
26950 25891 26106
26786 25867 25814
26965 25759 25948
26983 25921 26114
27056 25934 25956
26994 25909 25988
26935 25781 25996
27014 25788 25916
26782 25798 26047
26927 26076 25970
27007 25884 25952
27121 25940 25962
27020 25814 26098
26884 25713 26010
26675 25649 25799
26825 25620 25861
26910 25752 25802
26980 25779 26022
26765 25451 25719
27064 25738 25985
27068 25748 26043
27173 25926 26001
26889 25918 25809
26700 25893 25951
26753 25424 25740
26906 25677 25911
26898 25781 25785
26875 25734 26001
26941 25619 25964
26845 25771 25961
26822 25821 25845
26803 25695 25825
26765 25822 25825
26809 25697 25832
26865 26046 25865
27020 25686 25892
26882 25795 25755
26877 25859 26062
27108 25972 26097
26773 25588 25846
26852 25683 25946
26986 26098 25954
26785 25806 26045
27054 25639 25884
26963 25655 26070
26836 25732 25873
26792 25612 25756
26818 25775 25832
26913 25836 25803
26798 25518 25882
26676 25485 25688
26752 25618 25874
26868 25749 25765
26965 25938 25726
27045 26096 26030
27036 25942 25987
27023 25807 25795
26997 25777 25884
26927 25699 25831
26955 25809 25965
26548 25524 25512
26951 25675 25875
26916 25637 25871
26854 25754 26058
27189 25841 26073
27188 25838 25985
26714 25720 25766
26914 25798 25798
27030 25870 26057
27228 26017 26173
27163 25908 25960
27030 25616 25966
27059 25937 25957
26900 25793 25825
26627 25569 25445
26761 25601 25894
26720 25679 25677
27060 25820 25857
26926 26045 26033
26952 25828 25820
26910 25749 25887
26816 25776 25996
27080 25721 25959
27109 25840 26084
26977 25817 26111
26841 25688 26002
26941 25863 25965
27061 25991 25941
26914 25637 25863
26942 25556 25798
26894 25676 26216
26825 25981 26185
26771 25820 26157
26958 25949 25904
26986 25710 25811
26661 25697 25614
26869 25588 25839
26756 25544 25866
27006 25782 25872
27117 25758 26067
27075 25483 25824
27064 25653 25880
26851 25895 25837
26996 25958 26242
26556 25713 25633
26774 25664 25773
27007 25913 25839
26894 25752 25987
26793 25697 25851
26873 25630 25616
27003 25794 25991
