6780 2348.6
29695 25932 26063
29536 26269 25899
29370 25429 26671
28469 27053 26590
28247 26477 27361
28088 26632 27292
29308 25476 26782
29499 25535 26525
28217 26762 27107
28193 26790 27197
28137 26714 27291
29408 26293 26042
29556 26214 25974
28784 26369 26937
28533 26929 26706
28331 26982 26990
29513 25565 26520
29599 26125 25913
29461 25743 26446
28153 26751 27248
29608 25717 26253
28352 26899 26913
28288 26698 27217
29534 25625 26511
28344 26431 27330
28392 26943 26812
28234 26873 27078
28461 26550 27048
29179 26588 25946
28747 26189 27018
28662 26647 26798
28700 26482 26983
28271 26626 27348
29134 26338 26457
28511 27036 26691
29142 25980 26748
28180 27007 26894
29166 26541 26092
29659 25790 26157
28439 26643 27149
28361 26387 27306
29674 25870 26076
29274 26312 26289
29445 26239 26131
29428 26038 26187
28304 26600 27189
29631 25787 26228
28376 26660 27180
28761 26121 27000
28627 26441 27063
28486 27012 26806
29422 25732 26545
28264 26857 27094
28914 26569 26429
28642 26591 26949
29573 26103 26118
28234 26687 27231
29398 25944 26377
29647 25958 26066
28188 26912 27040
28893 26525 26662
28298 26958 27022
29543 25594 26479
29130 26354 26424
29583 25888 26110
29098 26029 26731
29316 25602 26712
28472 26809 26878
29501 25970 26170
29287 26278 26318
28599 26141 27127
29222 25996 26539
28713 26502 26959
28820 26258 26987
28428 26249 27270
28949 26578 26408
28885 26514 26689
28503 26745 26870
29296 26113 26346
29332 25826 26568
28837 26280 26795
28822 26079 26968
28316 26458 27262
28495 26830 26833
29212 25759 26716
29264 25799 26605
29478 26233 26011
29493 25661 26481
29666 26002 25964
28722 26403 26926
29109 26390 26257
28557 26487 27068
29190 25874 26634
29062 26167 26589
29362 25859 26390
28903 26382 26774
29447 25899 26308
29022 25918 26822
29014 26652 26235
28632 26046 27134
28417 26446 27283
28276 26848 27026
29342 25686 26603
28992 25817 26844
29234 26134 26501
29616 26019 26003
28557 26671 26863
29002 26569 26356
28866 26544 26617
28860 26223 26835
29295 26349 26020
29490 25850 26370
29205 25813 26646
28908 26472 26683
28568 26263 27236
29037 26239 26625
28434 26816 26851
28559 26364 27163
28961 26013 26932
29352 26051 26267
29256 26069 26473
29382 26231 26199
29254 25848 26644
28578 26453 27092
29527 25771 26278
29277 26484 25994
29381 26021 26294
28730 26412 26898
28411 26722 27066
29084 26092 26708
28930 26078 26958
28979 25921 26887
29518 25905 26230
29359 25839 26408
28756 26418 26695
29210 26005 26558
29107 26459 26388
28583 26725 26502
29284 25682 26787
28590 26169 27172
29339 25671 26619
28941 26172 26849
29053 26348 26487
29401 26141 26210
28974 25966 26889
28733 26170 27029
29348 26155 26281
29310 25895 26500
28725 26272 27119
29148 26110 26575
28725 26485 26764
29097 25835 26794
29016 25772 26828
29088 26060 26598
29152 26010 26654
28977 26181 26826
29171 25887 26594
29403 25663 26635
29076 26116 26595
29152 26076 26590
29047 26146 26716
29170 26425 26204
29077 26152 26573
29350 26060 26353
29048 26422 26504
29179 26107 26540
29053 26365 26475
28726 26483 26836
29484 25928 26151
29420 26115 26009
29332 25550 26517
28688 25921 27102
28411 26693 26781
27956 26259 27038
28386 26659 26998
28500 26480 26949
28620 26400 26807
28854 26528 26400
29444 25879 26216
29329 25778 26438
29217 25671 26761
29124 26168 26364
29317 25669 26516
29156 25826 26582
29045 26060 26651
28664 26197 27054
28816 26034 26793
28890 25974 26752
28859 26242 26591
28802 26210 26681
28742 26477 26473
28931 26249 26323
28714 26430 26725
28426 26413 27002
29203 26142 26271
29154 25916 26547
29065 26093 26534
28728 26345 26526
28979 26210 26508
29334 26059 26288
29261 25787 26515
29306 25860 26381
29312 25946 26295
28747 26068 26722
29028 26182 26386
28969 26107 26704
29172 26044 26455
29001 26143 26546
29254 26131 26279
28868 26329 26370
28881 26311 26547
28677 26257 27011
28727 26280 26754
28966 25862 26774
28892 26176 26721
29174 26037 26538
28931 25871 26769
28909 26267 26278
28705 25924 27045
28911 26169 26534
29458 25885 26134
29304 26008 26006
29110 25630 26500
28496 26232 27000
28344 26469 26711
29144 25813 26255
28483 26406 26852
29261 25761 26282
28379 26424 26935
28666 26293 26456
28775 26006 26780
29216 26104 26143
28716 26394 26405
28900 25927 26692
28996 25697 26572
29001 26058 26362
28874 25774 26745
28532 26103 26988
29101 25879 26412
28601 26425 26720
29192 26115 26067
29032 25923 26456
28815 26156 26545
28681 25788 26895
28661 26115 26676
28988 25716 26524
28621 26256 26779
28918 26211 26042
28746 26100 26615
28724 26207 26602
28974 26156 26280
28963 26049 26506
28738 26268 26413
28700 26232 26466
28614 26135 26914
28985 26077 26386
28757 26217 26491
28949 26083 26501
29119 26125 26256
28794 26124 26602
28731 26118 26604
29115 25826 26033
29013 25793 26304
28567 26328 26234
28476 26183 26984
28153 26322 26915
28915 26055 26204
28487 26250 26742
28740 26104 26580
28874 25881 26592
29091 25931 26242
28824 26007 26473
28631 26255 26412
28665 26000 26698
28976 26015 26363
28666 26126 26436
28660 26149 26444
28913 25839 26237
28679 26065 26212
28472 25675 26522
28463 26006 26826
28366 26195 26591
28780 25956 26394
28542 25810 26460
28488 26003 26251
28526 25941 26442
28870 25787 26216
28437 25903 26502
28295 26110 26100
28251 25966 26307
28615 25936 26388
28292 26047 26285
28674 25866 26352
28762 25910 26344
28610 25883 25825
28459 25656 26240
27990 25669 26267
28499 25756 26086
28585 25722 26223
28556 25553 26015
