391 428.599
29496 26247 25946
28937 27275 25493
26321 26882 28240
26744 25761 28870
27417 28111 26266
28116 24921 28335
28202 24966 28205
29463 26182 26015
27529 28014 26368
27992 25079 28409
27564 28069 26188
26376 26075 28701
27612 27835 26568
26404 26682 28362
28506 27607 25592
26544 26583 28511
28785 27340 25627
27507 25181 28638
29496 26247 25946
28303 25436 28021
28057 24995 28325
27127 28002 26507
27727 25227 28520
29026 27102 25559
28398 25254 28089
26919 25698 28820
27827 27410 26716
28279 27626 26046
28220 25059 28166
27459 28038 26416
27334 28105 26359
26870 27511 27365
27651 25655 28376
26812 26012 28678
28975 26322 26725
28927 27182 25618
26822 25757 28799
26678 27424 27614
27459 27852 26755
28717 25419 27553
27943 27306 26876
29133 26935 25810
26361 26382 28579
28210 25017 28168
28038 25094 28343
28104 24981 28317
29029 26286 26622
28184 25123 28264
26721 27418 27573
28557 27497 25608
28326 27562 25937
27263 27954 26587
29251 26472 26235
27120 27886 26803
27392 28064 26369
26833 27379 27578
26424 27003 28199
26814 25864 28834
28080 25017 28315
26579 26271 28662
28813 27351 25542
26335 26136 28689
28688 27420 25536
26988 25547 28851
26405 26370 28624
26943 27684 27090
29324 26426 26060
28775 27341 25557
26900 25589 28855
27393 28095 26267
27439 27038 27409
27543 27971 26462
29425 26184 26249
29440 26235 26095
27486 27716 26813
27180 27786 26891
27536 27910 26491
28023 25128 28290
26476 25953 28749
29077 27060 25735
27280 27312 27347
26934 25839 28763
27040 25848 28666
27508 27892 26555
27598 27813 26615
27320 28041 26478
27659 27958 26179
27032 26709 28078
29367 26389 26021
29413 26195 26240
29251 26210 26419
26494 26415 28536
28562 27489 25800
27835 25041 28547
29378 26248 26175
26446 26878 28220
28751 26952 26296
28230 25646 27932
26952 25838 28744
29149 26457 26324
27649 27944 26221
27778 27935 26076
29181 26280 26448
27010 25555 28777
28595 26082 27181
27218 27436 27260
28406 26908 26793
28764 27362 25577
26685 27366 27622
28359 25102 28098
27980 25141 28375
27722 27903 26351
28981 27094 25648
28294 25109 28148
28190 25536 28037
26971 27188 27640
27899 25214 28451
27967 27774 26175
29197 26048 26521
26906 26005 28684
26989 26754 27949
27955 27368 26710
26734 27290 27772
29188 26713 25955
28254 26826 27020
28559 25469 27785
28569 25528 27659
27234 27035 27718
29297 26003 26381
29355 26116 26348
26374 26632 28441
28742 25399 27527
27999 25145 28294
26433 26958 28114
26522 26701 28351
27921 25447 28273
28700 25359 27694
26602 27225 27795
26503 26362 28532
26695 27118 27846
28910 25564 27330
27023 26186 28517
28608 26657 26773
28391 25608 27846
26860 25604 28847
27493 25473 28477
26550 26442 28487
29143 26310 26532
29106 25765 26997
26980 25554 28840
27930 27829 26168
26647 27257 27794
27363 27825 26760
28010 26776 27263
27005 25751 28807
28948 27156 25656
28958 27128 25744
26844 25792 28788
27558 26704 27780
29007 27172 25581
27756 25958 28074
28736 27403 25696
27069 25952 28653
28483 27554 25685
28050 27731 26285
26796 26124 28612
27849 27928 26123
26485 26907 28202
26880 26328 28441
27100 26639 28023
27712 25218 28529
27696 25502 28463
29456 26263 25987
28479 25158 27888
28156 25350 28190
28083 25806 28000
