52 2.22866
22171 20773 22771
22314 21672 21541
22126 21244 21510
22198 20675 22693
20650 21100 20129
22140 20378 22355
21366 21581 21540
22612 20655 22392
21897 19819 22184
21343 21591 21335
20989 21501 22923
22795 21486 21566
21504 21138 20588
21549 20736 22664
20081 20797 21364
22516 22546 21863
22961 21494 21350
21859 20337 21909
22188 21676 21707
22162 20854 22801
21572 20989 22558
22515 21497 21525
22158 21091 21853
21935 22327 22078
22394 21731 21080
22568 21583 21825
20987 21775 22033
22571 21602 21914
21724 21004 23015
21122 21250 21816
21610 20974 22643
21913 21546 21021
22767 20839 21748
22615 21527 22703
23028 20955 20805
23215 20961 21242
21130 20917 22012
21854 21384 21802
22353 21498 21193
22359 21971 21609
21593 21115 21460
21274 22776 21440
22906 21319 22948
22962 21382 22113
23317 21282 21492
21591 22123 22159
20624 20907 22410
22485 21186 22420
20440 21879 21440
23131 20985 22373
22609 20998 21870
22480 20230 22734
21863 22215 21307
21279 20718 22600
20813 22592 20578
22870 21588 21883
21758 20491 22033
22018 21433 21731
21843 21275 21273
22421 21332 20449
21911 22079 20727
22024 21600 21940
21593 20237 22430
22854 21797 20792
21715 21171 19440
22919 20855 21886
22528 20789 22401
21980 22037 21745
22121 21608 21065
21385 22043 21229
23484 21570 21015
21576 20598 21710
22957 21007 20437
21365 21968 20532
21882 20901 19776
21612 21586 22799
22712 21718 20973
21718 21633 21704
22231 21113 21454
21912 20838 21932
22437 21244 22466
22303 21118 21570
21094 21232 21794
22116 21463 21813
22101 21063 21902
22372 20739 21921
22341 20866 22244
22930 21831 21635
22584 21215 21321
21403 22327 21420
23496 22235 21519
23249 20929 22581
21869 21814 21563
21740 21595 21781
21718 21808 22316
21897 20807 22230
21882 21221 21749
22709 21466 21444
22684 21459 21032
22308 20933 22092
22096 20950 21647
21472 21153 21682
21895 20859 20982
22227 21671 22098
22538 20790 22042
21687 21433 22983
22136 20751 21852
22474 22286 22401
22711 20835 22235
21752 21178 22461
21640 21245 21435
22774 21431 22431
22044 21601 21520
21774 22040 22035
22742 21582 20697
22873 21943 22153
22063 21424 21759
22530 22111 21678
21986 21749 22754
21607 20277 22905
22936 21622 22139
22279 21579 21090
22105 22260 21776
22685 21397 21934
21566 22174 21761
22896 21543 21868
22451 22235 21886
21554 21805 21694
20666 21026 22393
22800 20642 22184
21578 21855 22156
22487 21206 20649
21706 22080 22417
22782 21283 21576
21834 21458 21660
20845 21617 21012
23143 21887 22001
22063 21164 21256
22280 21812 22408
21575 20452 21964
23064 20605 22084
21964 21488 23064
22408 22670 21696
22288 22098 21941
22903 21221 21210
22479 21621 20974
22409 21040 22573
21868 22372 22333
22385 21937 22139
22679 21802 21075
21838 20618 20464
22505 21458 21927
22294 22325 21254
22058 21589 22173
23332 20718 21216
22819 20691 21688
21504 21157 22770
21909 21718 20354
21733 20483 21200
22062 21607 22178
23183 19796 21879
21235 22006 21034
21849 20628 20085
21617 21535 21492
21111 21741 21507
21363 21097 21467
21135 21896 21328
21687 22642 22108
22106 21322 21382
22951 21095 20856
24005 21077 22141
22145 21552 20897
20868 21597 20664
21634 21603 20695
22255 20907 20557
21492 21479 22300
22654 20658 21437
22312 21092 22290
21771 20747 20593
21155 21132 21298
23516 21164 21214
22138 22013 22059
22544 20918 21527
22176 21113 21259
21724 20866 20149
21920 21070 21849
21919 21084 21921
24143 21221 21579
21861 21211 21002
22019 21300 22269
22440 21337 21961
22048 22665 21918
21290 21040 22172
21997 21752 20812
21220 22347 21322
22071 21005 22016
22029 21150 22112
21267 21398 20857
21396 21897 21400
22074 21089 21462
22100 20790 20383
21419 21641 21817
21917 21102 21087
20995 21121 21986
22214 21906 21650
22152 21350 20571
22171 21787 20711
22186 21338 21509
22050 20543 20665
21721 21701 21650
22413 20956 22178
21289 21621 22008
22737 20517 21354
21490 20656 21771
22209 21462 22154
21699 22437 22805
22302 21548 22775
22583 21630 20123
20920 20990 21478
22400 20723 22604
21802 21246 23183
21502 21472 21952
21734 21290 21904
22218 20453 20727
21825 20225 22674
21412 21422 22494
21986 20646 22663
21737 21121 21526
22228 21744 22491
21678 20455 22488
22121 22017 21414
23948 21253 21689
21777 21726 22197
23171 21092 21734
21764 21086 21192
23358 21767 22790
22393 21223 21848
21865 21140 21717
22929 20566 20953
22522 21075 21871
21681 21921 21739
22133 20923 22307
21281 20876 22711
22457 22006 21306
22283 21480 21924
22429 20671 22380
21348 21367 21273
21907 21291 20822
22349 20768 22321
21991 21614 21308
23277 20919 20252
22055 21442 21853
21107 21018 22176
22332 20614 21694
22526 20760 21389
22187 20736 22630
22039 22475 21961
21482 20449 22352
21833 21428 21628
22300 20909 20981
21271 21317 21144
21982 20855 22391
22573 21671 21434
21831 20669 21061
21836 20741 20103
21378 21194 22212
21307 20577 22325
22079 21278 22838
21276 21723 21225
22471 21689 22395
21661 21884 21588
21851 21404 21439
23167 21446 20909
22828 21070 20240
22129 20401 22004
22050 20948 22585
22825 21873 20984
22244 22144 22176
21196 20685 21592
21958 22054 20983
22415 21854 20973
21189 21127 21976
22733 21198 21762
21239 19998 21408
21454 21617 21916
21832 21009 21855
21079 21768 21819
22294 21331 22283
23368 21528 21050
21803 21058 22151
22286 20502 22470
20446 20836 22020
22401 20978 21448
22088 20085 21910
20866 22083 21434
21359 22260 21518
22155 20420 22492
21159 21295 22059
22431 20869 22440
22829 21764 20757
